Date,Tau,Total_Spillover,dlog_SOLVPN_TO,dlog_SOLVPN_FROM,dlog_SOLVPN_NET,dlog_COPPER_TO,dlog_COPPER_FROM,dlog_COPPER_NET,dlog_DXY_TO,dlog_DXY_FROM,dlog_DXY_NET,d_UST10Y_TO,d_UST10Y_FROM,d_UST10Y_NET,dlog_VIX_TO,dlog_VIX_FROM,dlog_VIX_NET
2023-04-10,0.95,33.88452398126276,38.80619279873484,32.30175704891366,6.504435749821184,24.07979031518326,31.952726159081635,-7.872935843898375,50.391205152682296,45.446783884858235,4.944421267824062,29.268295518762955,22.930368637673972,6.337926881088983,26.87713612095043,36.79098417578627,-9.913848054835842
2023-04-11,0.95,34.10538112067398,39.11794055400109,33.049294024064025,6.068646529937062,24.20387373524632,32.80787565674173,-8.60400192149541,50.378821684808884,45.567012104155914,4.8118095806529695,29.576491096142664,22.203591238996758,7.372899857145907,27.249778533171053,36.89913257941153,-9.649354046240475
2023-04-12,0.95,34.39384510643846,39.48076382984763,33.254719409135504,6.226044420712128,24.152058649652265,33.12759107325426,-8.975532423601994,51.15811852963746,45.83633865513769,5.321779874499775,30.04604068761173,22.269934589657257,7.776106097954472,27.132243835443138,37.48064180500753,-10.348397969564392
2023-04-13,0.95,34.415756951228104,39.71465342809726,33.538910964792954,6.175742463304303,24.43046053561946,32.95934907917283,-8.528888543553371,50.98310665353205,45.87069073795371,5.112415915578339,30.660276936177688,22.408909742017823,8.251367194159865,26.290287202714026,37.300924232203144,-11.010637029489118
2023-04-14,0.95,34.05266777893126,39.22644311644494,32.40486482453571,6.821578291909233,23.098400703525577,31.9921876242531,-8.893786920727521,51.42160968761355,45.45938994823443,5.962219739379115,29.954954273524812,22.938723640553427,7.016230632971386,26.561931113547466,37.46817285707969,-10.906241743532227
2023-04-17,0.95,34.28437472649806,39.04306304039186,32.94684370666584,6.096219333726019,23.495157257743116,32.746843361798895,-9.251686104055779,50.24719776849892,45.645759615434656,4.601438153064265,31.53522543405367,22.182278955171153,9.352946478882519,27.101230131802833,37.90014799341985,-10.798917861617017
2023-04-18,0.95,33.72622347011891,37.65473555752931,32.8703267013516,4.784408856177706,23.220713237244716,30.736272155820853,-7.5155589185761364,51.75887876599552,45.87215501503618,5.886723750959341,29.240642677899597,22.050040738573372,7.190601939326225,26.756147111925433,37.10232273981252,-10.346175627887089
2023-04-19,0.95,34.03333081258437,38.76921469627826,33.566037923990365,5.203176772287897,23.812222124238602,30.100820643720716,-6.288598519482115,52.185481694027345,45.49155657868054,6.693925115346808,27.80222260809192,23.420695151875737,4.381527456216183,27.59751294028566,37.5875437646545,-9.990030824368837
2023-04-20,0.95,34.05497039436331,39.28345758430544,33.42807580297009,5.855381781335346,23.420324353660316,30.331060203359595,-6.910735849699279,51.76917757966512,45.472793159454824,6.296384420210295,27.685723113809836,23.838103105517195,3.8476200082926404,28.116169340375862,37.20481970051481,-9.08865036013895
2023-04-21,0.95,34.44476002659712,40.82537925507156,33.46137924288058,7.364000012190978,21.959848035755,32.44614083918896,-10.486292803433962,51.199688613008874,45.0944225755622,6.105266037446675,30.565589422143102,24.246284730602675,6.319304691540427,27.673294807007142,36.97557274475124,-9.302277937744098
2023-04-24,0.95,34.04149690541988,45.61066342609487,35.51856707800278,10.092096348092085,20.25494344454517,31.737897596467977,-11.482954151922808,47.945014645819825,44.516665832040204,3.428348813779621,28.337081687121866,23.52942141338309,4.807660273738776,28.05978132351763,34.90493260720532,-6.845151283687688
2023-04-25,0.95,34.59732159871321,47.179106414548464,35.240695091068694,11.93841132347977,19.43011136443513,35.037912138344,-15.607800773908867,45.98471691777646,44.403390421541644,1.5813264962348157,31.102331540197525,23.335294252415515,7.76703728778201,29.290341756608463,34.9693160901962,-5.678974333587739
2023-04-26,0.95,34.42551793199039,46.92639052558539,35.06180390281267,11.86458662277272,19.67716234937861,35.062424708794026,-15.385262359415417,45.87255855043271,44.097412118568016,1.775146431864691,30.10732810401574,22.890868278964007,7.216459825051732,29.54415013053947,35.01508065081319,-5.470930520273718
2023-04-27,0.95,33.85618058364107,45.06358155752177,35.11987698295843,9.943704574563341,20.171102135950857,32.015995303187815,-11.844893167236958,47.4528581299063,44.24781971537396,3.2050384145323463,28.049768532302732,22.896996312495276,5.152772219807456,28.543592562523724,35.00021460418987,-6.456622041666147
2023-04-28,0.95,34.258287020376166,45.87213826245967,34.90199609444357,10.970142168016103,21.032979707423493,31.809962218110744,-10.776982510687251,48.58272872349965,44.822900373830834,3.7598283496688154,26.895258225406483,24.962878804146584,1.932379421259899,28.908330183091515,34.79369761134905,-5.885367428257538
2023-05-01,0.95,34.09591749428712,46.94113986660017,34.270732210844265,12.670407655755902,20.836305903341334,32.12893084901328,-11.292624945671946,46.96187204785417,44.122816230349606,2.8390558175045655,26.742747751370686,24.505257139556235,2.237490611814451,28.997521902269373,35.451851041672334,-6.454329139402962
2023-05-02,0.95,33.846428101259676,45.01836754929415,34.03470640325034,10.983661146043808,21.737929666634336,31.742564920002046,-10.00463525336771,47.146682682305595,44.21932665990476,2.9273560224008364,26.037292985631645,24.01792225853192,2.019370727099723,29.291867622432697,35.21762026460935,-5.925752642176654
2023-05-03,0.95,33.07914150574818,40.44145218336328,33.51949029428516,6.921961889078119,21.526530287099853,31.076430018816847,-9.549899731716994,47.94125371201486,44.318936762880135,3.622316949134728,27.347625408212984,23.062045706893052,4.285579701319932,28.13884593804994,33.41880474586575,-5.2799588078158095
2023-05-04,0.95,32.97790566574649,39.96552247719774,33.36537010089208,6.600152376305658,21.7454258799207,31.350795528618324,-9.605369648697625,47.93332507941239,44.223714004664096,3.7096110747482953,26.826759518862396,22.831816238139258,3.994943280723138,28.418495373339304,33.11783245641876,-4.699337083079456
