Date,dlog_SOLVPN_const,dlog_SOLVPN_L1_dlog_SOLVPN,dlog_SOLVPN_L1_dlog_COPPER,dlog_SOLVPN_L1_dlog_DXY,dlog_SOLVPN_L1_d_UST10Y,dlog_SOLVPN_L1_dlog_VIX,dlog_COPPER_const,dlog_COPPER_L1_dlog_SOLVPN,dlog_COPPER_L1_dlog_COPPER,dlog_COPPER_L1_dlog_DXY,dlog_COPPER_L1_d_UST10Y,dlog_COPPER_L1_dlog_VIX,dlog_DXY_const,dlog_DXY_L1_dlog_SOLVPN,dlog_DXY_L1_dlog_COPPER,dlog_DXY_L1_dlog_DXY,dlog_DXY_L1_d_UST10Y,dlog_DXY_L1_dlog_VIX,d_UST10Y_const,d_UST10Y_L1_dlog_SOLVPN,d_UST10Y_L1_dlog_COPPER,d_UST10Y_L1_dlog_DXY,d_UST10Y_L1_d_UST10Y,d_UST10Y_L1_dlog_VIX,dlog_VIX_const,dlog_VIX_L1_dlog_SOLVPN,dlog_VIX_L1_dlog_COPPER,dlog_VIX_L1_dlog_DXY,dlog_VIX_L1_d_UST10Y,dlog_VIX_L1_dlog_VIX
2022-06-28,-0.0005972915042659237,0.12964392717573875,-0.13380204274008634,-0.01289157282567286,-0.02061400520819943,-0.013412798499644704,-0.001723004328667328,0.07300107081314744,0.003401271701277798,0.3236621976023652,-0.0022654628064993974,-0.029426617802942624,0.0006034802823628987,-0.08907701845888398,0.02739188474514313,-0.15725501376053705,0.009108732589149276,0.008913090679474168,0.008042838671878562,-0.6491970080593158,0.16043564112775463,2.5508409078333414,-0.0016116209363657725,-0.0010140778232198076,0.00326993143168453,-0.3279294656185846,0.6509331101737715,-0.6562449577775515,-0.018483587890197033,-0.056804508389840566
2022-06-29,-0.0007559670132666414,0.1475548594764317,-0.141992560438688,-0.039615519948102515,-0.018693673582767346,-0.012496794321772682,-0.0016862642128765235,0.06885392970238068,0.00529772421955456,0.32984992573916894,-0.0027101010920132593,-0.02963871165266033,0.0006448402240553615,-0.09374563506064928,0.029526803590393013,-0.15028921984730528,0.008608183988056059,0.008674327434752717,0.006658295710127186,-0.4929129323912952,0.08896825650037826,2.317657771181745,0.015144472382411902,0.006978630978500987,0.0031230835786941816,-0.31135361235694264,0.6433531128163112,-0.6809769046486887,-0.016706397585278004,-0.05595678306853665
2022-06-30,-0.0006579903652034079,0.13279838490224222,-0.13919621215367062,-0.022034474751207653,-0.021152144849840612,-0.014476708823902586,-0.0018882561233410007,0.09927636759837088,-0.0004673202433890626,0.293604259271878,0.0023583648932453474,-0.025556854182057408,0.0005961175531837158,-0.08640740836973392,0.02813621144597244,-0.15903207332964725,0.009830753740755715,0.00965891636025887,0.005576044876965637,-0.32991279696987624,0.05807977112050776,2.123457406214061,0.042300765536843796,0.028848782304108637,0.003257204333705505,-0.3315538289424127,0.6471810488671454,-0.6569101183041107,-0.02007181198790898,-0.05866709856853364
2022-07-01,-0.0005954829817282037,0.13583501138559967,-0.14370184887310253,-0.03202151007576171,-0.021849260905369344,-0.014120532663387253,-0.002187920100730271,0.08471860627071183,0.0211329603146942,0.34148267876883537,0.005700379200795538,-0.027264383100678736,0.0006500737781618793,-0.08378619960044223,0.024246956529391593,-0.16765285850537395,0.00922900481707986,0.00996636677619649,0.004195162555267848,-0.39699645325715316,0.15761607784056142,2.344086070527273,0.05770111000388075,0.020980314034901318,0.0025198956491412437,-0.367372494730038,0.7003274917037199,-0.5391075889314844,-0.01184894785067617,-0.06286839066848027
2022-07-04,-0.000668663455459251,0.13533172219045375,-0.13505608714590894,-0.04375491353540338,-0.01963946189620911,-0.012572454363482652,-0.0022462627663648533,0.08431736217194019,0.02802573867330057,0.3321282977447741,0.007462127357617995,-0.026030187556120948,0.0006823542919865631,-0.08356419456284941,0.02043323933503037,-0.16247715693801906,0.008254244148993261,0.009283496600397638,0.004623856780932982,-0.3940481644473314,0.10696884996736927,2.412820830690675,0.04475601649998867,0.011911607668150368,0.0029672127159905944,-0.3642961297508083,0.64748010524514,-0.4673869324211645,-0.02535638720857125,-0.07233104934040227
2022-07-05,-0.0007165999732957416,0.1331242961172365,-0.1343180755553453,-0.04146106221832229,-0.020098593063330457,-0.013046168050269626,-0.0027054449099405214,0.06317250889865696,0.0350951245910388,0.35410101525450044,0.0030641267723378494,-0.03056787356164037,0.0008056215630436233,-0.07788786677796887,0.018535465385584093,-0.16837572456096783,0.009434885726283822,0.010501636675398218,0.0034118457459969016,-0.44985999393128956,0.12562849050957284,2.470817807406589,0.03314749618709788,-6.56122405725719e-05,0.0030131777870490337,-0.3621794867218387,0.6467724452662087,-0.4695864463522091,-0.024916138361254853,-0.0718768176970278
2022-07-06,-0.0007584874327726599,0.13468804683739438,-0.12447556331085385,-0.06877069386963851,-0.018309561533926027,-0.011903156011525237,-0.0027147253736689043,0.0635189689614033,0.03727580298552351,0.3480503726721972,0.0034604993961471426,-0.030314631137794687,0.0008526122147878833,-0.07964213085660718,0.00749382975178842,-0.13773893239890864,0.007427894645717827,0.009219370304439837,0.0038986132092632287,-0.46803209080079755,0.011250230828798613,2.7881786664239336,0.012357447085372286,-0.013348372224836296,0.0030116767632931687,-0.36212345021333425,0.6471251485545166,-0.4705650782956226,-0.024852028986774705,-0.0718358582250326
2022-07-07,-0.0006822963504128799,0.1354461423726801,-0.12437119720849982,-0.052754200445100284,-0.016260269684100968,-0.012477552374305891,-0.0023433984081042327,0.06721364432244495,0.03778444450753177,0.4261087978594972,0.013447984815486053,-0.03311402513269239,0.0008512966069626214,-0.07965522105545497,0.007492027639826016,-0.1380154926396869,0.0073925090820747726,0.00922928853012021,0.004255492355503942,-0.4644811701546763,0.011739081811761417,2.863199946107664,0.021956333242549204,-0.01603884566613684,0.002826352909230404,-0.36396740861365606,0.6468712930149612,-0.5095228959046455,-0.02983663679055456,-0.07043872165191657
2022-07-08,-0.0006848436459000768,0.1353639960103983,-0.12473726426149558,-0.05310167782935128,-0.01627381839138935,-0.01249503131862543,-0.0025446299102458497,0.06072423782817757,0.008865843061748483,0.39865874491333775,0.012377662690148871,-0.03449482851374846,0.0008243629983765742,-0.08052378851438766,0.003621449306377568,-0.14168951471798868,0.007249252997028355,0.009044476423646532,0.005201247187739588,-0.4339820311780386,0.14765173349787133,2.9922106623358045,0.02698667049746859,-0.009549297776750905,0.001727405704671318,-0.3994067660215429,0.48894365305610105,-0.659430632164306,-0.03568178277962174,-0.07797943967820951
2022-07-11,-0.0007549625952370026,0.14321387711980382,-0.11903841808419563,-0.039570127906985525,-0.01747690146505552,-0.010734375424168273,-0.002765270329997585,0.08542513650619513,0.026798168411037,0.44123791763334413,0.008591970564409591,-0.028954644879154005,0.0008916881641453413,-0.0880609029742235,-0.0018503349574430245,-0.15468192048342802,0.008404401043799187,0.007353971202489976,0.004412537833685774,-0.3456852908853537,0.21175328279166955,3.1444157381325653,0.013454196282190745,0.010254846272182531,0.0022457406520666424,-0.45743484188948136,0.44681650823350694,-0.7594588739379322,-0.026788323770352736,-0.0909946016146723
2022-07-12,-0.0008603452686834872,0.14303213755751817,-0.11392642235116573,-0.07259792560670783,-0.015165524933262155,-0.011131891444629909,-0.003101470436780809,0.08484533663730867,0.043106859917072846,0.33587003551086075,0.015965906064345323,-0.030222831803592885,0.0008986080047042135,-0.08804896924021272,-0.0021860086906413537,-0.15251318546638723,0.00825262697555398,0.007380073666882178,0.0039677786845018085,-0.3464523081800543,0.23332805213939367,3.0050245581222366,0.023209176167439578,0.008577161684523108,0.0027331205676110913,-0.4565943221947248,0.4231742531345897,-0.6067099947620381,-0.037478112347684084,-0.08915614640999822
2022-07-13,-0.0008707809992162364,0.14360169023026378,-0.11207178599356822,-0.07035421390723534,-0.015145917424296024,-0.011078016836521069,-0.002963448257518717,0.07731247625439616,0.018577580341387692,0.3061948750201593,0.015706578640269586,-0.03093537327778466,0.0008719949186490976,-0.08659650223321855,0.002543664697416774,-0.1467912963898588,0.00830262983082171,0.007517464104215411,0.0036863386513400717,-0.3310921067450093,0.2833455297225084,3.0655349644731142,0.023737968852947253,0.010030099880382498,0.0027040098432162224,-0.45500554114747305,0.42834780640805675,-0.6004511063497786,-0.03742341672404837,-0.08900586187901917
2022-07-14,-0.0009329886934927203,0.14483408183441296,-0.1143369815610216,-0.0684876927202234,-0.014619428156660503,-0.01092919412236443,-0.0033514775083845335,0.08499969238566661,0.004448104087261847,0.31783756369951144,0.018990629568142205,-0.030007070646451677,0.0009402562804082665,-0.0879488225546549,0.005029295066514904,-0.14883945585726313,0.0077249058888177406,0.007354158885348492,0.003964908224443568,-0.3366108260458458,0.2934892035808716,3.0571765770372514,0.021380320137067386,0.009363663349774898,0.002372616916863826,-0.4484403426642123,0.4162806530343523,-0.5905077717597926,-0.034618702273141275,-0.08821305328314234
2022-07-15,-0.0008849223996032739,0.14243228098093255,-0.12227330449439386,-0.06146432354932957,-0.014216565220321145,-0.011989102123370045,-0.0033014305509777393,0.08249892073703056,-0.003815250202681711,0.3251503442221032,0.019410093241836814,-0.031110654182628886,0.0009093292023111308,-0.08640344269366118,0.010135727439458557,-0.15335847051965507,0.007465693611639359,0.008036130696994175,0.003690649934956241,-0.32290654929674184,0.33877254407581303,3.0171023990763355,0.01908165113478482,0.01541132236085494,0.0019209587512375426,-0.4258716592916675,0.49085484563071025,-0.6565033328808174,-0.03840423096907852,-0.0782535564147573
2022-07-18,-0.00098423079162632,0.14411880263866292,-0.12293586750895628,-0.04924705377908477,-0.013566993478030358,-0.01082542512870455,-0.0028552007823852144,0.07492074779792326,-0.0008381066336110759,0.27025357919197734,0.01649132432068265,-0.03633949039141096,0.0008314595671270582,-0.08508100837021523,0.009616198936585784,-0.14377867247264223,0.007975035406100473,0.008948592385284037,0.004603926098784486,-0.33841641707738024,0.3448657150144143,2.9047479339508238,0.013107952670380224,0.004709724641130966,0.0023048000781911936,-0.4323903099097247,0.49341574770070884,-0.7037248510710749,-0.04091491988905045,-0.08275133663935487
2022-07-19,-0.0005491381309144032,0.1325005494606732,-0.08925363973299268,-0.11084162275470244,-0.011083746691762047,-0.006934013771281293,-0.0030080832605590764,0.079003159427198,-0.012673338338922077,0.2918966249092626,0.015618763239140188,-0.03770685110704182,0.0006930907128278634,-0.08138615316726608,-0.00109547627296332,-0.124190270484285,0.007185309345918524,0.007711039606865537,0.005132613314931831,-0.35253392004586503,0.38579346407682735,2.829903506218506,0.01612538079314119,0.009438233354824173,0.0015695618195331806,-0.4127572868629649,0.43649807306744476,-0.5996397038697315,-0.04511121692602323,-0.08932721062783451
2022-07-20,-0.0006555802045983191,0.11312590819627297,-0.07949728801279599,-0.08228803611031453,-0.012661237724539974,-0.008478122749958537,-0.0028958424881869484,0.09943328282376789,-0.022961191766701437,0.26178751008237944,0.0172821920488314,-0.036078622922497715,0.0007349904391074378,-0.07375954333482362,-0.004935954501313236,-0.13543006902722476,0.007806270965645647,0.00831886075609016,0.0054267349247229075,-0.29899775262083017,0.3588346330965756,2.75100400174159,0.020484316934966298,0.013704927931350756,0.001419429827490152,-0.4400843896473501,0.450258989856563,-0.5593660912414674,-0.047336200553120225,-0.09150511029548605
2022-07-21,-0.0005014606759890222,0.10322531644658922,-0.07128882869954574,-0.05973678234586802,-0.013404825452031411,-0.010134438333270476,-0.002962354467359017,0.10370599218245971,-0.026503642744875117,0.25205526826838254,0.017603095518299527,-0.0353638216992284,0.0007155701679153899,-0.07251199100660419,-0.005970284851079144,-0.13827170413847972,0.007899968860086853,0.008527569529714014,0.0036186758113217797,-0.1828485838385953,0.26253678037001854,2.4864431102351428,0.029207744650038007,0.0331360572119707,0.0009741303963291285,-0.4114784893174308,0.42654218838512215,-0.6245237034135964,-0.045187743475304576,-0.08671949750697501
2022-07-22,-0.0005170092391340465,0.10265370448961807,-0.07112330756916967,-0.0593135951535486,-0.013021688319375183,-0.010115974544750236,-0.002735918950999861,0.11203044296460488,-0.028914146035466954,0.2458923444331924,0.012023425315966906,-0.03563271197857649,0.0007114055328214788,-0.07266509552140066,-0.005925950522439356,-0.13815835474304114,0.00800259096950995,0.008532514999010485,0.0021795410894112867,-0.235755505659191,0.27785698737000114,2.5256122203744025,0.06466992502747392,0.03484501764192488,0.0008958931742085112,-0.41435472496874015,0.42737505720535346,-0.6223943111311533,-0.04325987498541944,-0.08662659146091965
