Date,TCI,TO_dlog_SOLVPN,FROM_dlog_SOLVPN,NET_dlog_SOLVPN,TO_dlog_COPPER,FROM_dlog_COPPER,NET_dlog_COPPER,TO_dlog_DXY,FROM_dlog_DXY,NET_dlog_DXY,TO_d_UST10Y,FROM_d_UST10Y,NET_d_UST10Y,TO_dlog_VIX,FROM_dlog_VIX,NET_dlog_VIX
2022-04-01,16.174413949267148,23.958929623817514,19.827612002549422,4.131317621268092,9.5990362410602,15.925468726078428,-6.326432485018229,11.018594080273791,3.3536816404983516,7.66491243977544,5.665324089229939,13.674166789539166,-8.008842700309227,30.63018571195435,28.091140587670395,2.5390451242839553
2022-04-04,16.207027966449044,24.36397828692004,19.798203397794445,4.565774889125596,9.713760982765663,16.24789853282982,-6.534137550064155,10.702136314182809,3.0080317844857984,7.694104529697011,5.662874137725282,13.699720635200919,-8.036846497475636,30.59239011065141,28.281285481934194,2.3111046287172172
2022-04-05,15.752483621368825,23.556659220637542,19.664946670090334,3.891712550547208,10.25300002720606,16.17496584079192,-5.92196581358586,12.212155274926085,3.046260646175436,9.16589462875065,4.319618357293242,12.924819215425964,-8.605200858132722,28.420985226781216,26.95142573436047,1.4695594924207462
2022-04-06,15.554120281702415,22.94787575330034,18.99108958762058,3.9567861656797625,10.4649261021051,16.45811396344037,-5.993187861335269,12.703925421078422,2.9263589530673206,9.777566468011102,3.799245192116152,13.264193291334214,-9.464948099218063,27.854628939912097,26.130845613049647,1.7237833268624492
2022-04-07,15.575011247321129,22.661497895743143,18.893763249977514,3.7677346457656284,10.345292441327258,16.55652014503589,-6.211227703708632,13.134207859348868,2.8995114628462604,10.234696396502606,3.9056356730417074,13.513373356832513,-9.607737683790806,27.82842236714471,26.011888021913478,1.8165343452312328
2022-04-08,15.527248244918894,22.41332388537841,18.7973155045838,3.616008380794611,10.338537044524209,16.322620449467728,-5.984083404943519,13.20094545173749,2.864779807470952,10.336165644266536,3.8950488404526196,13.66746209763765,-9.772413257185029,27.78838600250171,25.98406336543433,1.8043226370673793
2022-04-11,15.682720373498745,23.095915271463074,19.193192381234812,3.9027228902282616,11.147450257699143,16.954616382413377,-5.807166124714234,12.987213575221201,2.900343034919939,10.086870540301263,3.4064298454339337,13.10866957558443,-9.702239730150497,27.776592917676403,26.256780493341214,1.5198124243351891
2022-04-12,15.373941000426381,22.39200660953513,19.06583035069225,3.3261762588428816,10.975209203031255,15.764797238931937,-4.789588035900682,12.970775626050578,2.927003925099436,10.043771700951142,3.437400622841824,12.96143768871687,-9.524037065875046,27.094312940673106,26.15063579869141,0.943677141981695
2022-04-13,15.155663996387398,22.560044554961824,19.24594497987534,3.314099575086484,10.065431599234632,15.847384821338862,-5.78195322210423,12.802350851662048,2.9971024305383343,9.805248421123714,3.079641831431612,12.051819318215184,-8.972177486783572,27.270851144646922,25.636068431969317,1.6347827126776053
2022-04-14,14.675910445371816,22.696334538294938,19.127273714409874,3.5690608238850636,9.9973470339193,15.868464853930686,-5.871117820011385,11.064369867118772,2.8906884091976504,8.173681457921122,2.995270771424141,9.930985568368666,-6.9357147969445245,26.626230016101836,25.5621396809521,1.0640903351497357
2022-04-18,14.48504398697942,22.14166790444323,19.058578450903074,3.0830894535401576,9.991467362072981,14.746353885317898,-4.754886523244917,10.835943673047598,2.9260836866106477,7.909859986436951,2.98191700671937,10.129264254967685,-7.147347248248315,26.474223988613964,25.56493965709783,0.9092843315161332
2022-04-19,14.603700380556182,22.198555624353034,18.476395359771647,3.7221602645813867,9.190422534294596,14.894498993627215,-5.704076459332619,12.004757337278471,2.8906314202100214,9.11412591706845,3.0150839470668545,11.085189809736617,-8.070105862669763,26.60968245978794,25.67178631943543,0.9378961403525103
2022-04-20,14.399848276613374,22.42959881933473,18.521201183395842,3.9083976359388863,9.25527729143002,13.93091749449179,-4.675640203061771,11.379222760655738,3.1702188113839624,8.209003949271775,2.7721232232314152,10.819059293210564,-8.04693606997915,26.16301928841487,25.557844600584634,0.6051746878302353
2022-04-21,14.24848872645569,23.113229411730927,18.728763651315315,4.384465760415612,7.874589974951318,14.194988356110205,-6.320398381158887,11.221497188015562,3.2076190236120072,8.013878164403554,2.820395375945617,9.09643556923243,-6.276040193286812,26.21273168163494,26.01463703200839,0.19809464962654744
2022-04-22,14.737701876694553,23.714255665205986,18.654311560949843,5.059944104256143,9.057348459045889,15.829739103261542,-6.772390644215653,11.162630335359713,3.47864642121245,7.683983914147263,2.5305628718227724,9.007348507601643,-6.476785635778871,27.223712052038373,26.718463790447245,0.5052482615911273
2022-04-25,14.816721446047756,23.508969421779536,18.608884024861993,4.900085396917543,9.230320986179752,17.081864388325595,-7.851543402145843,10.974183761242152,3.65645584863985,7.317727912602302,2.225631083084023,8.130136573079195,-5.904505489995172,28.14450197795332,26.606266395332156,1.5382355826211622
2022-04-26,15.007727125979624,24.758208745761547,19.059854490730256,5.6983542550312904,7.751435034077858,17.61090102689079,-9.859465992812932,8.811624061018353,3.908080678234638,4.903543382783715,3.401380228918127,7.872028897031869,-4.470648668113741,30.31598756012229,26.587770537010634,3.7282170231116574
2022-04-27,14.995830004256607,24.46907162358033,18.845981710422187,5.623089913158143,7.8422060661138,16.63315608373739,-8.79095001762359,9.224648284329229,4.046671545824121,5.177976738505108,3.502795984853979,8.98288568278468,-5.480089697930701,29.940428062405722,26.470454998514626,3.4699730638910964
2022-04-28,15.032869175229246,24.495190490220754,19.083605817350936,5.411584672869818,7.613923715108206,16.73639842657586,-9.122474711467653,9.354328382444432,3.8894754239626295,5.464852958481803,3.7731561122595125,8.73263595243169,-4.959479840172177,29.92774717611324,26.722230255825007,3.2055169202882325
2022-04-29,15.245185228559388,24.302628429274854,20.200159420888653,4.102469008386201,7.465420007283951,17.024456967384218,-9.559036960100267,11.035526488137048,4.163827997194003,6.871698490943045,3.425524066849406,9.039968366464347,-5.6144442996149415,29.996827151251804,25.797513390865802,4.199313760386001
2022-05-02,15.012108299731235,26.1869098576483,19.935602862636102,6.251306995012197,7.332975100704219,16.92954609827432,-9.5965709975701,7.633165121959373,4.519176052426288,3.113989069533085,3.863802164172203,8.374505156130063,-4.51070299195786,30.043689254172033,25.30171132918936,4.741977924982674
2022-05-03,15.232774406247922,26.12504015451019,20.436625304960955,5.688414849549236,8.045299506090442,16.836167028905603,-8.79086752281516,7.637715648885179,4.576661901867096,3.061053747018083,3.877442956964483,8.206537219616628,-4.329094262652145,30.478373764789346,26.107880575889332,4.370493188900014
2022-05-04,15.628833903272312,27.305314003223778,20.799807717566786,6.505506285656992,8.042523438486182,17.694113073337935,-9.651589634851753,8.052249889674822,5.316054747983323,2.7361951416915,3.628122159578817,8.321875425052783,-4.6937532654739655,31.115960025397992,26.012318552420755,5.1036414729772375
2022-05-05,15.962937207323336,28.12248194429475,22.13830524796647,5.98417669632828,9.427630933903785,17.534228370643735,-8.10659743673995,7.676177844642995,5.391028296595291,2.2851495480477038,3.6540224690066236,6.425898897904592,-2.771876428897968,30.934372844768497,28.325225223506568,2.609147621261929
