t,Date,mean_abs_beta,mean_diag_cov,mean_diag_P,min_cov_eig,min_P_eig
493,2023-04-10,0.20512768759369063,1.5085140445143113,0.0020118733716463174,0.17654261988197606,0.000541856758659636
494,2023-04-11,0.20154250718169148,1.4698085610228095,0.0020282161536265392,0.168681539022762,0.0005594263017987165
495,2023-04-12,0.20238707633658226,1.4124124079162128,0.0021068736506119653,0.16027529564039739,0.0006063548822399754
496,2023-04-13,0.1949575620538743,1.3844066724497786,0.0021551094518103557,0.154194008394647,0.0005802516545663002
497,2023-04-17,0.205859100064426,1.4089937509814972,0.0021627515415527836,0.14973055753512352,0.0005917672287172806
498,2023-04-18,0.19846387237073354,1.3540351030582618,0.002133819109954137,0.15676981705336568,0.0003637796990956898
499,2023-04-19,0.19785647145972793,1.2948881534470766,0.002232971308028277,0.1591435928280442,0.0004482444574290288
500,2023-04-20,0.19690358581020898,1.255385623952825,0.002285907065449955,0.15250672474654445,0.0005351581614289121
501,2023-04-24,0.1787864533657205,1.261367355900654,0.0023068146401398633,0.15552030661876617,0.0006258616410014813
502,2023-04-25,0.16847664910148122,1.278950311469914,0.002311549714699127,0.15017103890373065,0.0007128406883921977
503,2023-04-26,0.16517562958380738,1.255391556415336,0.002327025663617805,0.15218738935543635,0.0005392320582112123
504,2023-04-27,0.16143304865991961,1.273030024729444,0.00230904018857169,0.14460466860654977,0.0006421773994610622
505,2023-05-01,0.1576124837770221,1.2521854389658094,0.002352608763536644,0.1380710643051304,0.0005513149364948405
506,2023-05-02,0.17239454693618933,1.3592814315019064,0.0023224087643253675,0.13122249782117854,0.0005737993842923041
507,2023-05-03,0.163757988537772,1.377935524785945,0.0023497169675442647,0.12916429527759724,0.00032604586797883357
508,2023-05-04,0.1697098049032036,1.3354148093961724,0.0024026827709882704,0.12855477645795388,0.000332301784728564
509,2023-05-08,0.17553175631564097,1.2892812256329258,0.0022780318952724953,0.12451654144896007,0.0004349567160731629
510,2023-05-09,0.17041789171421473,1.2426938137327965,0.0022937674877632885,0.12093263658483296,0.0004382249467927946
511,2023-05-10,0.18028274692506788,1.199361451120391,0.0023451880954415494,0.11539693986061848,0.0005425985170566725
512,2023-05-11,0.18766769489894375,1.2512831298032085,0.002370751848005018,0.11612816338345737,0.0005840231007430503
513,2023-05-15,0.18814527992228822,1.2937750682070632,0.002309253592977657,0.11086965421473634,0.0004409883509916932
514,2023-05-16,0.18136665031692575,1.299683372925241,0.002321585626377273,0.10603648008045635,0.0005198330801012977
515,2023-05-17,0.16442770725550515,1.3457760219041603,0.00227035535454449,0.1059726390002448,0.0005085731444362907
516,2023-05-18,0.1623845017349577,1.3274303731999508,0.0022845490922555316,0.1103428404509018,0.0005267220472222832
517,2023-05-22,0.15756604256311119,1.2825172894691523,0.002266537830144804,0.12236863298028204,0.0005447428283564907
518,2023-05-23,0.1524905605148923,1.250372629620616,0.0022374409613927795,0.11667187413624351,0.0006470365731223088
519,2023-05-24,0.15697048848559808,1.2648626129012321,0.0022525029651272364,0.113230997268184,0.0006857681861224992
520,2023-05-25,0.15709812388406816,1.3066272232047098,0.002288541691483603,0.11166932306033474,0.0005047813615906228
521,2023-05-30,0.15089683028612952,1.3005360688570677,0.002250622851629928,0.10612293192270023,0.0005004089815882871
522,2023-05-31,0.1453435673292943,1.2585067176728688,0.002184994208193688,0.12444270625466547,0.0006026723174438052
523,2023-06-01,0.169118601877953,1.2564329730006831,0.0021926377415994657,0.1186453228955262,0.0007068870209759444
524,2023-06-05,0.17031679290307888,1.2116897816707102,0.0021558564970350722,0.11340929400729732,0.0005007609906779939
525,2023-06-06,0.17270488678284546,1.154011126200374,0.0021790800059559743,0.10789186021156343,0.000593064953517941
526,2023-06-07,0.17301310242455709,1.1330185623118976,0.0022545593906603536,0.10249728135904491,0.000698953986267755
527,2023-06-08,0.18051304783020694,1.1310268809664648,0.002275830466930919,0.11685960148402176,0.0006516388061323382
528,2023-06-12,0.166846359813221,1.147226169413739,0.0022759998001903397,0.12022313486107562,0.0005071939648501335
529,2023-06-13,0.17873902378754516,1.1554094490701712,0.0022488598405604673,0.11872953656760653,0.0005966803128992594
530,2023-06-14,0.1753636328807705,1.1226482521428136,0.002263602897443855,0.11684008355638863,0.0005870758009219552
531,2023-06-15,0.17771757398049318,1.110549242686117,0.002342521647183479,0.12748560258799999,0.0006437488271515787
532,2023-06-20,0.18224284604543323,1.096168133773432,0.002257003184520375,0.12118843964709085,0.0006252475727154333
533,2023-06-21,0.1829341168229909,1.0737781178566435,0.0022002701394162193,0.12669148904265642,0.0006417423594318541
534,2023-06-22,0.19180533978833536,1.051758609461106,0.0021337324137371853,0.12162213568538172,0.0007195730081523922
535,2023-06-26,0.18496474564617227,1.0456088077733638,0.0021304302047891084,0.11568165664692188,0.0005487329969930022
536,2023-06-27,0.18176289869470158,1.027323027683357,0.002131552365116126,0.11120845239010631,0.0006359988231408018
537,2023-06-28,0.18131975215022894,1.0093786147531623,0.0021755374391967544,0.10625542134140754,0.000718563806357168
538,2023-06-29,0.18477308914743712,0.9948865379684454,0.0021377623807173826,0.10126753764669488,0.0007770362192869656
539,2023-07-03,0.18145873375810473,0.9548214846897809,0.0021347367764462475,0.09624058605420507,0.0006388821191305818
540,2023-07-05,0.1768157506944136,0.9445818723573959,0.002202738894428422,0.09172386355742435,0.0007420880809608922
541,2023-07-06,0.1698044605361247,0.9580781568390244,0.0022095609479193057,0.09330255893337962,0.000703082459091137
542,2023-07-10,0.1666688513736329,0.9242396510436313,0.0022017461172323177,0.08950417581117605,0.0006638205333302408
543,2023-07-11,0.16819725490003767,0.8878150008972298,0.0022813190200683692,0.09152657417110073,0.0006449495133230102
544,2023-07-12,0.16356185635166243,0.9920848812532146,0.0023219713267989624,0.0939713134617481,0.0007425813189621606
545,2023-07-13,0.16468600625799032,0.9688258613000913,0.0023230283619562623,0.1153035598298121,0.00034577829204225473
546,2023-07-17,0.15814910565531554,0.9869993545585672,0.002274315888586339,0.11177130965268427,0.0003259573684911828
547,2023-07-18,0.16338759236542552,0.9490719820013889,0.0022168294554866064,0.11894372720280125,0.00042369286152902974
548,2023-07-19,0.15758162758423666,0.9220644522650328,0.0022420457120843665,0.11574516043104714,0.0005188999590610431
