Date,SOLVPN,COPPER,GOLD,SILVER,DXY,UST10Y,VIX,OIL,GAS,PJM_LMP
2023-10-24,817.16,3.624,1976.8,23.116,106.08,4.819,18.97,84.58,2.85,32.92915825
2023-10-25,800.7,3.591,1985.5,23.007,106.352,4.961,20.19,86.07,2.86,31.251993083333332
2023-10-26,815.41,3.5845,1987.9,22.908,106.422,4.849,20.68,83.8,2.87,30.998682708333334
2023-10-30,819.86,3.6735,2005.6,23.519,105.934,4.888,19.75,83.03,3.17,35.66413566666667
2023-10-31,832.67,3.6635,1994.3,23.075,106.494,4.926,18.14,81.64,3.34,41.11179516666667
2023-11-01,836.51,3.6655,1987.5,22.912,106.715,4.734,16.87,81.05,3.19,53.64793866666667
2023-11-02,867.02,3.6875,1993.5,22.971,105.977,4.661,15.66,83.04,3.12,46.95697895833334
2023-11-06,882.97,3.7345,1988.6,23.355,105.046,4.647,14.89,81.54,2.71,30.77755529166667
2023-11-07,875.63,3.698,1973.5,22.709,105.373,4.569,14.81,77.96,2.0,27.975871875
2023-11-08,876.2,3.6585,1957.8,22.846,105.448,4.492,14.45,75.85,2.18,29.18857008333333
2023-11-09,872.1,3.6625,1969.8,23.023,105.78,4.632,15.29,76.34,2.71,31.459202375
2023-11-13,875.34,3.6835,1950.2,22.477,105.503,4.638,14.76,78.86,2.61,48.36579004166666
2023-11-14,915.26,3.7025,1966.5,23.249,103.907,4.453,14.16,78.9,2.69,41.375039
2023-11-15,927.86,3.736,1964.3,23.659,104.265,4.537,14.18,77.15,2.88,53.07240866666667
2023-11-16,925.0,3.7195,1987.3,24.053,104.233,4.441,14.32,73.5,2.91,39.94886258333333
2023-11-20,936.99,3.8225,1980.3,23.732,103.317,4.426,13.41,78.1,2.49,48.812073875
2023-11-21,929.31,3.827,2001.6,23.989,103.449,4.398,13.35,78.35,2.63,43.41754291666667
2023-11-22,932.44,3.7815,1992.8,23.808,103.825,4.408,12.85,76.8,2.72,33.889094125
2023-11-27,938.69,3.7745,2012.4,24.803,103.105,4.39,12.69,74.46,2.74,44.95283991666667
2023-11-28,943.12,3.8185,2040.0,25.066,102.649,4.325,12.69,76.09,2.78,48.878696625
2023-11-29,957.53,3.816,2057.5,25.342,102.676,4.259,12.98,77.56,2.7,58.14415975
2023-11-30,958.74,3.842,2047.6,25.541,103.428,4.33,12.92,75.66,2.75,41.4732455
2023-12-04,957.19,3.826,2032.9,24.786,103.647,4.259,13.08,72.73,2.55,32.32024479166667
2023-12-05,954.37,3.776,2026.9,24.43,103.995,4.167,12.85,71.95,2.72,44.17209995833333
2023-12-06,946.41,3.726,2038.4,24.112,104.108,4.114,12.97,68.98,2.76,44.568840333333334
2023-12-07,948.96,3.79,2036.9,23.942,103.504,4.148,13.06,69.0,2.52,43.195540333333334
2023-12-11,944.32,3.778,1984.3,22.953,104.064,4.237,12.63,70.95,2.39,44.99206133333333
2023-12-12,945.39,3.7865,1983.9,22.906,103.839,4.21,12.07,68.27,2.37,50.798109124999996
2023-12-13,963.08,3.785,1988.1,22.815,102.848,4.024,12.19,69.09,2.33,38.964947
2023-12-14,972.11,3.89,2035.2,24.273,101.94,3.921,12.48,71.21,2.39,39.350626416666664
2023-12-18,960.34,3.849,2030.9,23.994,102.536,3.935,12.56,72.16,2.59,32.710661875
2023-12-19,969.57,3.8945,2042.6,24.206,101.796,3.931,12.53,73.23,2.44,40.19578620833334
2023-12-20,956.61,3.9025,2038.1,24.516,102.04,3.853,13.67,73.87,2.48,40.59844833333333
2023-12-21,969.5,3.9105,2041.8,24.468,101.478,3.892,13.65,73.59,2.48,37.00213108333333
2023-12-26,979.61,3.894,2060.4,24.285,101.104,3.897,12.99,75.84,2.5,24.806226416666664
2023-12-27,986.72,3.953,2083.4,24.526,100.654,3.789,12.43,74.31,2.63,24.670918541666666
2023-12-28,993.19,3.9245,2083.5,24.372,100.913,3.846,12.47,72.02,2.55,24.309424916666668
2024-01-02,983.1,3.8805,2073.4,23.953,101.891,3.941,13.2,70.62,2.56,30.772124708333333
2024-01-03,966.84,3.8615,2042.8,23.157,102.195,3.92,14.04,72.97,2.57,34.487114874999996
2024-01-04,965.23,3.844,2050.0,23.187,102.135,4.003,14.13,72.38,2.83,39.08371008333334
2024-01-08,973.82,3.81,2033.5,23.31,101.928,4.027,13.08,71.06,2.72,30.73570408333333
2024-01-09,970.25,3.7585,2033.0,23.091,102.284,4.015,12.76,72.43,3.25,29.365569124999997
2024-01-10,968.46,3.781,2027.8,23.066,102.08,4.03,12.69,71.57,3.25,31.374423500000002
2024-01-11,966.03,3.7765,2019.2,22.705,102.024,3.975,12.44,72.15,3.15,33.72611179166667
2024-01-16,968.31,3.7665,2030.2,23.093,103.112,4.054,13.84,72.63,3.25,130.260134375
2024-01-17,949.36,3.733,2006.5,22.669,103.206,4.106,14.79,72.79,2.86,140.66794316666667
2024-01-18,949.68,3.745,2021.6,22.807,103.312,4.142,14.13,74.32,2.88,69.77101412500001
2024-01-22,976.8,3.7635,2022.2,22.296,103.118,4.107,13.19,75.26,2.35,60.520806625
2024-01-23,978.38,3.7935,2025.8,22.462,103.402,4.132,12.55,74.72,2.15,38.949599791666664
2024-01-24,974.67,3.886,2016.0,22.889,103.039,4.18,13.14,75.48,2.45,27.172661375
2024-01-25,990.55,3.869,2017.8,22.927,103.37,4.12,13.45,77.91,2.56,27.553808291666666
2024-01-29,993.92,3.879,2025.4,23.251,103.421,4.076,13.6,77.25,2.41,31.363825958333333
2024-01-30,984.45,3.9215,2041.1,23.343,103.215,4.036,13.31,78.3,2.26,34.88545091666666
2024-01-31,977.15,3.917,2057.4,23.282,103.089,3.918,14.35,76.28,2.19,34.67447020833333
2024-02-01,988.87,3.8665,2061.2,23.347,102.872,3.882,13.88,74.36,2.15,25.728946625000003
2024-02-05,973.87,3.788,2032.9,22.534,104.319,4.162,13.67,73.21,2.12,30.46128920833333
2024-02-06,984.39,3.7965,2041.5,22.588,104.068,4.09,13.06,73.83,2.1,31.407240291666668
2024-02-07,987.75,3.7505,2041.8,22.471,103.917,4.115,12.83,74.26,1.94,27.732635916666666
2024-02-08,994.99,3.7145,2038.1,22.749,104.037,4.158,12.79,76.67,1.74,22.507563208333334
2024-02-12,1005.5,3.7335,2023.4,22.878,104.047,4.179,13.93,77.34,1.76,28.885573958333335
2024-02-13,983.51,3.718,1997.7,22.266,104.85,4.326,15.85,78.28,1.61,28.573316833333333
2024-02-14,995.89,3.7075,1994.7,22.495,104.612,4.261,14.38,77.09,1.51,27.963030166666666
2024-02-15,1024.02,3.7635,2005.3,23.061,104.2,4.234,14.01,78.47,1.53,23.99984166666667
2024-02-20,999.48,3.87,2030.0,23.25,103.978,4.275,15.42,78.72,1.5,26.071142416666664
2024-02-21,994.01,3.8805,2024.5,22.989,103.912,4.319,15.34,78.89,1.58,24.09079208333333
2024-02-22,1027.4,3.9065,2020.8,22.899,103.875,4.331,14.54,79.64,1.62,25.175119374999998
2024-02-26,1014.56,3.8255,2029.1,22.638,103.751,4.281,13.74,78.53,1.65,25.58783166666667
2024-02-27,1011.04,3.841,2034.4,22.651,103.759,4.303,13.43,79.8,1.52,21.087837291666666
2024-02-28,1024.88,3.8405,2042.7,22.636,103.904,4.266,13.84,79.44,1.61,24.718664958333335
2024-02-29,1040.86,3.847,2054.7,22.885,104.098,4.254,13.4,79.22,1.67,32.220920666666665
2024-03-04,1072.87,3.857,2126.3,23.991,103.778,4.217,13.49,79.67,1.48,22.585431208333333
2024-03-05,1061.34,3.847,2141.9,23.984,103.753,4.151,14.46,79.11,1.51,21.56557533333333
2024-03-06,1073.8,3.875,2158.2,24.493,103.321,4.108,14.5,80.08,1.67,23.341621041666667
2024-03-07,1081.09,3.926,2165.2,24.578,102.772,4.089,14.44,79.81,1.56,23.293409416666666
2024-03-11,1077.73,3.9285,2188.6,24.715,102.852,4.098,15.22,78.87,1.54,27.018068749999998
2024-03-12,1081.86,3.932,2166.1,24.394,102.934,4.151,13.84,78.51,1.57,21.485393083333335
2024-03-13,1079.13,4.06,2180.8,25.156,102.766,4.188,13.75,80.67,1.25,23.409420666666666
2024-03-14,1067.68,4.0455,2167.5,25.06,103.342,4.292,14.4,82.16,1.26,17.534426083333333
2024-03-18,1047.87,4.13,2164.3,25.265,103.461,4.328,14.33,83.68,1.54,30.639468208333337
2024-03-19,1039.27,4.0745,2159.7,25.135,103.484,4.293,13.82,84.39,1.55,28.79606733333333
2024-03-20,1036.06,4.0515,2161.0,25.104,103.046,4.277,13.04,82.79,1.58,29.431518
2024-03-21,1049.04,4.0585,2184.7,25.007,103.666,4.269,12.92,81.99,1.55,36.03134291666667
2024-03-25,1048.35,4.016,2176.4,24.891,103.934,4.249,13.19,82.41,1.46,30.029956166666665
2024-03-26,1033.84,4.0085,2177.2,24.623,103.991,4.238,13.24,82.41,1.48,29.547412708333336
2024-03-27,1046.47,4.0175,2201.4,24.879,104.064,4.188,12.78,82.15,1.43,28.851123625
2024-04-01,1045.99,4.0665,2245.9,25.203,104.764,4.317,13.65,84.54,1.64,24.696296041666667
2024-04-02,1036.86,4.089,2270.3,26.057,104.562,4.353,14.61,85.95,1.65,26.708465083333333
2024-04-03,1036.9,4.211,2303.3,27.195,103.997,4.351,14.33,86.22,1.86,28.517671583333335
