Date,dlog_SOLVPN,dlog_COPPER,dlog_DXY,d_UST10Y,dlog_VIX
2022-06-10,-2.3422065,-1.9221401,0.8998512999999999,11.899999999999999,6.1683741
2022-06-13,-4.3026223,-1.9479611000000001,0.7613692,19.7,20.3712747
2022-06-14,-1.2942464,-1.2640283,0.3756739,11.700000000000001,-3.9879366
2022-06-15,1.8146918,0.1678657,-0.3871089,-18.7,-9.8619412
2022-06-16,-2.7731171999999997,-1.3387404,-1.4571752,-9.700000000000001,10.6541452
2022-06-17,1.1530962,-2.3588317,1.0302874,3.5999999999999996,-5.6819276
2022-06-20,0.065522,-0.2738705,0.0,4.6,-0.3217506
2022-06-21,2.3453332000000002,0.8317346999999999,-0.26545420000000003,0.2,-2.7443735
2022-06-22,1.3160484000000001,-2.4402137,-0.22095,-11.899999999999999,-4.1940539999999995
2022-06-23,1.9893556,-5.3201959,0.2027161,-7.1,0.34482789999999996
2022-06-24,1.6395707,0.0400721,-0.223876,4.9,-6.4699177
2022-06-27,-0.0239617,0.5327663,-0.2706648,6.4,-1.0336009
2022-06-28,-2.0243872,0.38448839999999995,0.5607428,-2.5,5.0996404
2022-06-29,-1.8428204,0.0529171,0.5623849000000001,-9.0,-0.7077169999999999
2022-06-30,0.6816433000000001,-1.8824398999999998,-0.3678705,-7.000000000000001,1.9342963000000002
2022-07-01,0.9582017,-2.8987537,0.4250793,-12.8,-7.2581929
2022-07-04,0.0683844,-0.5564844999999999,0.0,4.3,3.0612754
2022-07-05,-0.5801982,-4.830200199999999,1.3360106999999999,-11.4,0.0363174
2022-07-06,-0.0739174,-0.2051884,0.5421694,11.600000000000001,-2.9852963
2022-07-07,0.6826803,4.7000054,0.0570475,6.6000000000000005,-2.4617793
2022-07-08,-0.6600887,-1.4096653000000001,-0.12910470000000002,8.0,-5.679759799999999
2022-07-11,-0.8507004,-2.6322986999999998,0.9392103,-8.7,6.0242578
2022-07-12,-1.0838606,-4.2426546,0.0769441,-2.1999999999999997,4.1906618
2022-07-13,0.0899873,1.0438034,-0.14466679999999998,-3.5999999999999996,-1.7372457000000001
2022-07-14,-0.6011002,-3.3979394000000003,0.6023251000000001,2.3,-1.5783867999999999
2022-07-15,0.9352273,0.6981643,-0.4585849,-3.0,-8.5772475
2022-07-18,-0.6683251,3.4045841,-0.6321427000000001,6.1,4.3212861
2022-07-19,2.3951875,-1.6574133000000002,-0.6371026999999999,3.9,-3.2131278
2022-07-20,-0.6042625,1.0278204000000002,0.37751270000000003,0.2,-2.5631828999999997
2022-07-21,1.2130426,-0.8001853999999999,-0.1394107,-14.799999999999999,-3.2775864
