Date,Total_Spillover,SOLVPN_TO,SOLVPN_FROM,COPPER_TO,COPPER_FROM
2024-07-05,22.305262845820923,72.9669217992634,11.405793797642307,9.341348931311465,4.8118525379778685
2024-07-08,22.6140633748774,72.74462838856283,11.619211902356136,10.218792404276314,4.775059826542423
2024-07-09,22.630961814051354,71.54929359518927,12.13593433637253,10.3877469021068,4.677251816996678
2024-07-10,22.024427666259143,68.11299243921177,11.699223387472873,10.754678709533064,3.841779756752655
2024-07-11,22.148210849315543,68.21414005759152,11.595679305595294,10.87860336283982,3.924950442963592
2024-07-12,21.87697325806243,68.48009400598752,11.323098117958962,9.778746355115937,3.5532189545891715
2024-07-15,21.737487384699154,67.93358429906837,11.105847212312584,10.234103361533423,3.6912074423518972
2024-07-16,21.715706753512425,68.24021065550295,11.055785147310994,10.287536935462649,3.546755234841205
2024-07-17,21.523675186929317,67.08203455022591,11.162122925965928,10.24090671156633,3.4582535591948953
2024-07-18,21.272756351229006,66.55835631538977,10.965534345124285,9.598391954365308,3.4666907388578263
2024-07-19,21.074458712370657,68.10010808896601,10.232673746588256,8.986195798045838,3.98187044412165
2024-07-22,20.8595237157523,66.50151448959404,10.132260022314943,9.207903951321246,4.0042997798909035
2024-07-23,20.772167081786144,65.49998178291625,10.347302899543982,9.363365557622881,3.9905957778212673
2024-07-24,20.80275266483509,65.79841749257176,9.879216484665765,9.663172062078901,4.108814617801601
2024-07-25,20.800857270636072,67.58037869861644,9.523740323329685,8.845423336284904,4.236368429201845
2024-07-26,20.72845049552502,67.22834285937769,9.757817070134518,8.8289628616342,3.8758182666819594
2024-07-29,20.67002588190293,67.08704620119033,9.888356983532239,8.779861659685665,3.930298347323334
2024-07-30,20.573190748561977,66.61824343125954,9.839094953563738,8.68776727337491,4.0468821572705975
2024-07-31,20.256151669551496,65.35595782371497,9.81775244135658,8.705610416552116,4.098114705312884
2024-08-01,20.69223646673047,68.91641963151143,9.277748566092562,8.665486944324112,4.305377577338224
2024-08-02,20.425193001331685,67.2365897942784,9.570322316697633,9.084173814903917,3.5495743318318964
2024-08-05,20.365834981498573,62.045925386956434,10.376113958875715,9.159873622396532,3.5355805583732165
2024-08-06,21.372496399131098,60.66591863346786,11.89537927602782,8.29042713885541,5.300524422914209
2024-08-07,20.99309492378778,62.155495137391895,7.502441904520213,7.654935725747894,5.094856091654214
2024-08-08,20.83959256785927,62.97734477815553,7.056215079826725,7.552408184477204,4.85359742719261
2024-08-09,21.008904331559766,63.63351378611497,6.94609511192367,7.437123306896573,4.910873755714401
2024-08-12,20.927721201647408,62.47233740489699,6.481854642393271,7.943227153029923,4.7968249100483416
2024-08-13,20.609867078467147,61.276050895269506,5.7734938011778825,7.849943585424407,4.480604654378777
2024-08-14,21.022700616739662,63.476931735453945,5.863495339035009,7.188129497518453,4.422790939231202
2024-08-15,20.77329576264538,62.46188663702931,5.658958811872531,7.2583480131903215,4.340432037038601
2024-08-16,20.760914825062002,61.80693445580009,5.630334504779487,6.811350432764912,4.216186430047229
2024-08-19,20.671100732834084,63.22883573717895,5.404265148630468,6.301498129897068,4.342768605129104
2024-08-20,21.093588935648626,63.40061039718579,5.609770744198183,6.364523713131312,4.474201853500787
2024-08-21,20.638837678372987,60.731419801178845,5.2585851235459575,6.299315963957754,4.324111079205618
2024-08-22,20.551052239773764,59.06646478751889,5.346079322909722,6.8105899388038456,4.544436392655959
2024-08-23,20.6228998387156,58.60081633217307,5.7793949413669194,7.109272660167326,4.429326680318705
2024-08-26,21.07622778591132,61.59516729520609,4.715608299298429,7.235243684475733,4.583455203011344
2024-08-27,21.183960664116178,61.791679517391685,4.525857736719386,7.194591442690735,4.517808404658867
2024-08-28,21.067256599210488,61.08473738063207,4.613459140439952,7.395229089881678,4.482242989979683
2024-08-29,21.285587976547006,62.13624852039411,4.646325657971354,7.785104393522562,4.933778137479589
2024-08-30,21.241222373861348,62.039698329472756,4.780473360553309,7.554172259958614,5.026632419130858
2024-09-03,20.314504339244248,55.259740924367804,5.40939130344906,9.389112004408512,4.937023240362454
2024-09-04,20.43102020880343,56.2510095371846,5.475955931468248,9.368497440529524,4.988020443501812
2024-09-05,20.49972503664142,56.07113207612675,5.289244891269972,9.595412318464259,5.04767029152465
2024-09-06,20.737611611334383,57.08142312418521,5.608769303989511,9.41093804410845,5.4130490512143306
2024-09-09,20.686511451911198,56.78743144984946,5.514029836941005,9.385545082689879,5.12518442363733
2024-09-10,20.603983870325386,57.32351163981152,5.352904857109521,9.070259498436625,5.358858896238335
2024-09-11,20.507793145967167,57.259200954259846,5.170307804978153,8.897473442138223,4.9384048551771285
2024-09-12,20.69417266981446,57.094927228419515,5.160047061331701,8.799901723895044,4.9806239900966265
2024-09-13,20.58750283937355,56.81177463361959,5.072406811862154,9.103765384685117,4.960007236079636
2024-09-16,20.526768650139143,56.957068570712565,5.101145823229347,8.80209920022682,4.9875684706084416
2024-09-17,20.588560385982557,57.058077950155806,4.991641496998507,8.82546995338458,5.071786730142759
