Date,Horizon,Response
2022-09-13,0,0.7771536433140349
2022-09-13,1,-0.6361630427309213
2022-09-13,2,-0.6953971234649561
2022-09-13,3,-0.8359022923082697
2022-09-13,4,-0.6300631322600054
2022-09-13,5,-0.6849566606492068
2022-09-13,6,-0.6573966749499978
2022-09-13,7,-0.0995225561453198
2022-09-13,8,-0.5711115021484787
2022-09-13,9,-0.5449585178767855
2022-09-13,10,-0.4600245784812612
2022-09-13,11,0.034852041386849386
2022-09-13,12,-0.302568585630574
2022-09-13,13,-0.583720654989972
2022-09-13,14,-0.6690457034551637
2022-09-13,15,-0.44555793175779346
2022-09-13,16,-0.8550569555931528
2022-09-13,17,-0.821606530031395
2022-09-13,18,-0.7171886318263314
2022-09-13,19,-0.4842217256432495
2022-09-13,20,-0.6472792409032053
2022-11-10,0,1.045459733001647
2022-11-10,1,1.2515543106143863
2022-11-10,2,-0.24692851041046435
2022-11-10,3,0.21602292270406265
2022-11-10,4,1.1905467117947386
2022-11-10,5,-0.06905572864789195
2022-11-10,6,-0.3083332680548354
2022-11-10,7,-0.19907194790049193
2022-11-10,8,-0.20579727414994886
2022-11-10,9,-0.14445612791577717
2022-11-10,10,-0.03078610449901359
2022-11-10,11,0.5033266371327222
2022-11-10,12,0.3038241086745893
2022-11-10,13,-0.2493336180947726
2022-11-10,14,-0.3043035701201882
2022-11-10,15,-0.29607455390706
2022-11-10,16,-0.2581959601425264
2022-11-10,17,0.9022362834490144
2022-11-10,18,0.6219477670972174
2022-11-10,19,1.1486122087040993
2022-11-10,20,0.11148670176194375
2022-11-14,0,0.2060945776127392
2022-11-14,1,-1.2923882434121112
2022-11-14,2,-0.8294368102975843
2022-11-14,3,0.14508697879309151
2022-11-14,4,-1.114515461649539
2022-11-14,5,-1.3537930010564825
2022-11-14,6,-1.244531680902139
2022-11-14,7,-1.2512570071515958
2022-11-14,8,-1.189915860917424
2022-11-14,9,-1.0762458375006605
2022-11-14,10,-0.5421330958689248
2022-11-14,11,-0.7416356243270577
2022-11-14,12,-1.2947933510964196
2022-11-14,13,-1.3497633031218352
2022-11-14,14,-1.341534286908707
2022-11-14,15,-1.3036556931441734
2022-11-14,16,-0.14322344955263255
2022-11-14,17,-0.4235119659044295
2022-11-14,18,0.10315247570245245
2022-11-14,19,-0.9339730312397032
2022-11-14,20,0.34783308055332807
2022-11-17,0,0.9745237890906758
2022-11-17,1,-0.2850786513519546
2022-11-17,2,-0.524356190758898
2022-11-17,3,-0.4150948706045546
2022-11-17,4,-0.4218201968540115
2022-11-17,5,-0.3604790506198398
2022-11-17,6,-0.24680902720307624
2022-11-17,7,0.28730371442865954
2022-11-17,8,0.08780118597052666
2022-11-17,9,-0.46535654079883526
2022-11-17,10,-0.5203264928242508
2022-11-17,11,-0.5120974766111226
2022-11-17,12,-0.47421888284658903
2022-11-17,13,0.6862133607449518
2022-11-17,14,0.4059248443931548
2022-11-17,15,0.9325892860000368
2022-11-17,16,-0.1045362209421189
2022-11-17,17,1.1772698908509125
2022-11-17,18,-0.450089885921901
2022-11-17,19,-0.3930006547293534
2022-11-17,20,-0.46674648139756214
2022-12-15,0,0.526664441606882
2022-12-15,1,-0.5104610653352737
2022-12-15,2,0.7713450464577576
2022-12-15,3,-0.8560147303150558
2022-12-15,4,-0.7989254991225082
2022-12-15,5,-0.8726713257907169
2022-12-15,6,-0.8385756746925463
2022-12-15,7,-0.37719490056345417
2022-12-15,8,0.3758970632697567
2022-12-15,9,-0.8033109022259894
2022-12-15,10,-0.28958827903893136
2022-12-15,11,-0.7339235543138446
2022-12-15,12,-0.5221585200553036
2022-12-15,13,-0.3013279541447297
2022-12-15,14,-0.19320281999115563
2022-12-15,15,-0.06488551948628074
2022-12-15,16,-0.4184073976673457
2022-12-15,17,-0.7172222403021149
2022-12-15,18,-0.9511700757481403
2022-12-15,19,-0.8862899291089439
2022-12-15,20,-0.8307057620852009
2022-12-20,0,1.2818061117930313
2022-12-20,1,-0.3455536649797821
2022-12-20,2,-0.2884644337872345
