Date,DC_to_CP,CP_to_DC,PairSpillover,Asymmetry,Spread_DC_minus_CP
2023-03-29,0.018350781870171987,0.01444905749558972,0.03279983936576171,0.0039017243745822668,0.0039017243745822668
2023-03-30,0.010606963479862635,0.0012021564288408804,0.011809119908703515,0.009404807051021754,0.009404807051021754
2023-04-03,0.08352926688602956,0.021187829306305507,0.10471709619233507,0.06234143757972405,0.06234143757972405
2023-04-04,0.039910658397213535,0.008340338456756137,0.04825099685396967,0.0315703199404574,0.0315703199404574
2023-04-05,0.0302015876708201,0.01806855255341138,0.048270140224231484,0.012133035117408719,0.012133035117408719
2023-04-10,0.023749770709194883,0.009303552044401324,0.03305332275359621,0.014446218664793559,0.014446218664793559
2023-04-11,0.09334589208826401,0.01251870157398711,0.10586459366225112,0.08082719051427689,0.08082719051427689
2023-04-12,0.10728639578769228,0.022309826641456258,0.12959622242914853,0.08497656914623603,0.08497656914623603
2023-04-13,0.036020827537740094,0.01729292337513925,0.05331375091287935,0.018727904162600843,0.018727904162600843
2023-04-17,0.004702224295078603,0.010740423408760885,0.015442647703839487,-0.0060381991136822825,-0.0060381991136822825
2023-04-18,0.0019056240170819403,0.009930654893726422,0.011836278910808361,-0.008025030876644482,-0.008025030876644482
2023-04-19,0.003219260756343417,0.006041218609451859,0.009260479365795276,-0.002821957853108442,-0.002821957853108442
2023-04-20,0.014223001198950385,0.0485020310157663,0.06272503221471669,-0.034279029816815916,-0.034279029816815916
2023-04-24,0.004901458435251534,0.04160973055200568,0.046511188987257215,-0.03670827211675415,-0.03670827211675415
2023-04-25,0.02412654204703318,0.024279675911394016,0.0484062179584272,-0.00015313386436083612,-0.00015313386436083612
2023-04-26,0.020377960790885816,0.02227141109695207,0.042649371887837885,-0.0018934503060662536,-0.0018934503060662536
2023-04-27,0.021962553361097387,0.019631120640348696,0.04159367400144608,0.0023314327207486912,0.0023314327207486912
2023-05-01,0.01012909381806845,0.03478565729237841,0.04491475111044686,-0.02465656347430996,-0.02465656347430996
2023-05-02,0.049721272526326264,0.13136587474569067,0.18108714727201694,-0.0816446022193644,-0.0816446022193644
2023-05-03,0.061276945085429434,0.16341685134587353,0.22469379643130297,-0.10213990626044409,-0.10213990626044409
2023-05-04,0.06282928431908083,0.1126660467640677,0.17549533108314852,-0.04983676244498687,-0.04983676244498687
2023-05-08,0.06352781335314596,0.10475136322516192,0.16827917657830788,-0.04122354987201596,-0.04122354987201596
2023-05-09,0.08030610725279835,0.09581452211083183,0.17612062936363018,-0.015508414858033476,-0.015508414858033476
2023-05-10,0.1454123247331104,0.11639351514014512,0.2618058398732555,0.029018809592965267,0.029018809592965267
2023-05-11,0.08823671418659514,0.06960149030251057,0.1578382044891057,0.018635223884084562,0.018635223884084562
2023-05-15,0.08984962995022178,0.0632742380157188,0.15312386796594057,0.02657539193450298,0.02657539193450298
2023-05-16,0.0844213612421749,0.06987072102129491,0.1542920822634698,0.014550640220879998,0.014550640220879998
