Date,EventLabel,Is_DC_Event,DC_EventType,DirectionType,PersistenceType,PairImpact,DC_to_CP,CP_to_DC,Asymmetry,Magnitude,Peak,PeakHorizon,HalfLife,AUC,Cluster,ClusterLabel
2022-12-15,Fed 금리 경로 경계 속에서도 중국 리오프닝 기대,True,Copper_Supply_Structural,Copper_to_DC,Structural,0.2635688015930044,0.0034007087165191,0.2601680928764853,-0.2567673841599662,1.6357617519257166,0.9511700757481404,18.0,14.0,12.639942701321932,1.0,Unassigned
2022-12-20,중국 리오프닝 기대,False,Non_DC_Event,Copper_to_DC,Transient,0.2341835355315933,0.0043368237491774,0.2298467117824159,-0.2255098880332385,1.8804423567765929,1.2818061117930313,0.0,1.0,6.960326568076154,2.0,Unassigned
2023-01-03,중국 리오프닝과 달러 약세 기대,False,Non_DC_Event,Copper_to_DC,Transient,0.0769427105710635,0.0250742334289754,0.0518684771420881,-0.0267942437131127,1.4849943735885918,0.7530919638332109,0.0,2.0,6.989627591181081,2.0,Unassigned
2023-05-11,"중국 수요 둔화·미국 부채한도 불안, 생성형 AI 인프라 투자 확대 기대",False,Non_DC_Event,Bidirectional,Transient,0.1039676353841497,0.0571756105465152,0.0467920248376345,0.010383585708880705,1.5331712696897026,1.1407737274601284,0.0,1.0,5.894038986592773,2.0,Unassigned
2023-10-02,파나마의 First Quantum 신규 광산계약 논의 중단,False,Non_DC_Event,DC_to_Copper,Transient,0.25888247567855743,0.1880527294631595,0.0708297462153979,0.1172229832477616,1.9999223003802344,1.590282111107551,0.0,2.0,8.827131535017376,2.0,Unassigned
2023-10-03,2023-10-03,False,Non_DC_Event,DC_to_Copper,Structural,0.15959971966279568,0.1182665156785389,0.0413332039842568,0.0769333116942821,1.560101588851671,1.8559112379926648,4.0,,27.38604705354105,,Unassigned
2023-10-16,"geopolitical safe-haven bid, 지정학적 안전자산 선호 현상",False,Non_DC_Event,Copper_to_DC,Transient,0.118840971693603,0.0334795665702192,0.0853614051233838,-0.051881838553164604,1.4928313749145314,1.123189197807734,1.0,2.0,6.920108647937667,2.0,Unassigned
2023-10-17,2023-10-17,False,Non_DC_Event,Bidirectional,Transient,0.1577018188639145,0.0777393865271958,0.0799624323367187,-0.0022230458095229,1.6584256678493874,1.2563958245517248,18.0,,16.98616402018467,,Unassigned
2024-02-15,미국 인플레이션·소매판매 지표로 인해 rate cut 기대 흔들림,True,DC_Demand_Transient,DC_to_Copper,Transient,0.34129886859803127,0.2413528738735064,0.0999459947245249,0.1414068791489815,1.9970310857880025,1.464115364461052,0.0,2.0,6.693508244129576,2.0,Unassigned
2024-04-10,중국 경기지표 개선과 원료 부족 우려로 강세,False,Non_DC_Event,DC_to_Copper,Transient,0.046974569456017606,0.0295678834695814,0.0174066859864362,0.0121611974831452,1.5383171426595226,1.2564449805942326,11.0,1.0,8.939168077583918,1.0,Unassigned
2024-04-30,AI·데이터센터가 2030년까지 구리 수요를 100만 톤 추가할 수 있다는 전망,False,Non_DC_Event,Copper_to_DC,Transient,0.1339603940692391,0.0502382824741659,0.0837221115950732,-0.0334838291209073,1.5512542622136265,1.1373080810511866,0.0,1.0,6.623462336506717,2.0,Unassigned
2024-08-05,미국 경기둔화·침체 우려가 촉발한 글로벌 위험자산 매도,False,Non_DC_Event,Bidirectional,Transient,0.0827805013340821,0.0394891982667403,0.0432913030673418,-0.0038021048006015024,2.3512050576100947,1.5560155247836978,0.0,2.0,10.545384591476491,0.0,Unassigned
2024-08-06,2024-08-06,False,Non_DC_Event,Copper_to_DC,Structural,0.0367346498567721,0.0021278396781891,0.034606810178583,-0.032478970500393896,2.02532237106828,2.169887056009259,20.0,,37.87687027336059,,Unassigned
2024-11-06,미국 대선에서 트럼프 승리가 확정,False,Non_DC_Event,DC_to_Copper,Transient,0.1416744300785161,0.0902292727082288,0.0514451573702873,0.038784115337941495,2.0281088874671847,1.699720634768449,1.0,2.0,5.9336279872038125,2.0,Unassigned
2024-11-07,2024-11-07,False,Non_DC_Event,DC_to_Copper,Structural,0.1999533552536805,0.1136996147899497,0.0862537404637308,0.027445874326218894,2.082820966712259,1.7683847466759963,17.0,,30.99526113862567,,Unassigned
2024-12-18,Fed 정책결정 대기와 금리경로 재평가,False,Non_DC_Event,DC_to_Copper,Transient,0.0957000934017111,0.0816071657361866,0.0140929276655245,0.06751423807066209,2.227944252296012,1.9499733265108257,0.0,2.0,13.577789503932252,0.0,Unassigned
2024-12-19,2024-12-19,False,Non_DC_Event,Copper_to_DC,Structural,0.1165401092337843,0.0449795070802513,0.071560602153533,-0.026581095073281706,1.819830200261462,2.044161285062954,6.0,,29.42767803415087,,Unassigned
2025-01-13,LME가 2022 니켈 위기 후 거래 회복을 확인,False,Non_DC_Event,DC_to_Copper,Transient,0.024885709664241203,0.02320356455598,0.0016821451082612,0.0215214194477188,1.631532434468171,1.3148693262986202,0.0,1.0,10.92391896259866,2.0,Unassigned
