t,TCI,diag_mean,offdiag_mean,diag_minus_offdiag,row_err,net_abs_mean
78,49.449367932535615,0.5055063206746438,0.0549437421472618,0.4505625785273821,2.220446049250313e-16,0.11269321783946988
79,48.09020484768903,0.5190979515231098,0.05343356094187669,0.4656643905812331,2.220446049250313e-16,0.10557359431050858
80,56.73952412880829,0.432604758711917,0.06304391569867589,0.3695608430132411,2.220446049250313e-16,0.19435235112786672
81,53.8561845497016,0.461438154502984,0.059840205055224,0.40159794944775995,2.220446049250313e-16,0.13596456749360133
82,53.62775058436442,0.4637224941563556,0.059586389538182696,0.4041361046181729,2.220446049250313e-16,0.13559293770100092
83,56.14146674299303,0.43858533257006965,0.06237940749221448,0.37620592507785516,3.3306690738754696e-16,0.174283394527537
84,55.88790513083195,0.4411209486916805,0.062097672367591054,0.37902327632408944,2.220446049250313e-16,0.16376522282357295
85,55.59005133096011,0.444099486690399,0.0617667237010668,0.3823327629893322,2.220446049250313e-16,0.17567029368375583
86,58.80128310297014,0.4119871689702988,0.06533475900330016,0.34665240996699864,2.220446049250313e-16,0.17616974246093348
87,55.1761939791778,0.448238060208222,0.06130688219908645,0.38693117800913557,2.220446049250313e-16,0.047083208657192135
88,57.58993730981407,0.42410062690185935,0.06398881923312674,0.36011180766873263,2.220446049250313e-16,0.11364605150541189
89,55.59806846990701,0.44401931530092964,0.061775631633230015,0.3822436836676996,2.220446049250313e-16,0.06551693624038066
90,58.02423581674277,0.4197576418325724,0.06447137312971418,0.35528626870285823,2.220446049250313e-16,0.09069818292024001
91,56.59877418879764,0.43401225811202365,0.06288752687644182,0.3711247312355818,2.220446049250313e-16,0.07873136912268168
92,56.90549597339506,0.4309450402660494,0.06322832885932785,0.3677167114067216,2.220446049250313e-16,0.08174244237656182
93,55.37946591301407,0.44620534086985914,0.06153273990334896,0.3846726009665102,2.220446049250313e-16,0.07744574346443697
94,54.51586897119781,0.4548413102880217,0.060573187745775345,0.39426812254224636,2.220446049250313e-16,0.1264702978564725
95,57.15697801092412,0.42843021989075886,0.06350775334547124,0.3649224665452876,3.3306690738754696e-16,0.14557819403858488
96,52.723235630650265,0.47276764369349733,0.05858137292294474,0.4141862707705526,1.1102230246251565e-16,0.11230043597770464
97,56.80222433897123,0.4319777566102875,0.06311358259885692,0.36886417401143057,1.1102230246251565e-16,0.13077350588104858
98,56.385912096687626,0.4361408790331237,0.06265101344076404,0.37348986559235964,2.220446049250313e-16,0.10376920241555046
99,55.11898082857822,0.44881019171421777,0.06124331203175358,0.38756687968246417,2.220446049250313e-16,0.10711643010087601
100,54.29555513879967,0.45704444861200333,0.0603283945986663,0.39671605401333704,2.220446049250313e-16,0.1119868775985414
101,54.02150303513654,0.4597849696486346,0.06002389226126282,0.39976107738737177,2.220446049250313e-16,0.10757520461074424
102,53.464170656156625,0.46535829343843355,0.05940463406239625,0.4059536593760373,2.220446049250313e-16,0.08120209570492286
103,55.715140433782274,0.4428485956621772,0.06190571159309142,0.3809428840690858,2.220446049250313e-16,0.12505099623344668
104,53.86723528507472,0.4613276471492528,0.05985248365008303,0.4014751634991698,2.220446049250313e-16,0.09520978191498582
105,53.47847579594428,0.4652152420405572,0.05942052866216031,0.4057947133783969,2.220446049250313e-16,0.09627647143859025
106,55.185186573773024,0.4481481342622698,0.061316873970858915,0.3868312602914109,2.220446049250313e-16,0.10086588686732764
107,55.27640717485829,0.4472359282514171,0.06141823019428699,0.3858176980571301,2.220446049250313e-16,0.12159011893907978
108,57.50838014838063,0.42491619851619367,0.06389820016486737,0.3610179983513263,2.220446049250313e-16,0.14367080854433462
109,53.195781694755226,0.4680421830524475,0.05910642410528359,0.4089357589471639,2.220446049250313e-16,0.10563924609857958
