Date,Close
2016-07-12,2.213
2016-07-13,2.24
2016-07-14,2.243
2016-07-15,2.2335
2016-07-18,2.237
2016-07-19,2.263
2016-07-20,2.254
2016-07-21,2.2585
2016-07-22,2.2355
2016-07-25,2.217
2016-07-26,2.2255
2016-07-27,2.185
2016-07-28,2.2125
2016-07-29,2.225
2016-08-01,2.2045
2016-08-02,2.214
2016-08-03,2.2035
2016-08-04,2.18
2016-08-05,2.16
2016-08-08,2.17
2016-08-09,2.1545
2016-08-10,2.175
2016-08-11,2.194
2016-08-12,2.144
2016-08-15,2.156
2016-08-16,2.176
2016-08-17,2.157
2016-08-18,2.1725
2016-08-19,2.1715
2016-08-22,2.1455
2016-08-23,2.12
2016-08-24,2.08
2016-08-25,2.079
2016-08-26,2.0815
2016-08-29,2.0765
2016-08-30,2.0745
2016-08-31,2.075
2016-09-01,2.0735
2016-09-02,2.076
2016-09-06,2.088
2016-09-07,2.097
2016-09-08,2.0995
2016-09-09,2.092
2016-09-12,2.0995
2016-09-13,2.1
2016-09-14,2.1535
2016-09-15,2.157
2016-09-16,2.157
2016-09-19,2.1545
2016-09-20,2.1615
2016-09-21,2.151
2016-09-22,2.1925
2016-09-23,2.1975
2016-09-26,2.1955
2016-09-27,2.1675
2016-09-28,2.1845
2016-09-29,2.19
2016-09-30,2.2105
2016-10-03,2.192
2016-10-04,2.167
2016-10-05,2.1645
2016-10-06,2.1555
2016-10-07,2.1635
2016-10-10,2.1975
2016-10-11,2.1855
2016-10-12,2.1765
2016-10-13,2.122
2016-10-14,2.1105
2016-10-17,2.107
2016-10-18,2.1055
2016-10-19,2.1035
2016-10-20,2.096
2016-10-21,2.0885
2016-10-24,2.093
2016-10-25,2.1385
2016-10-26,2.1455
2016-10-27,2.1635
2016-10-28,2.197
2016-10-31,2.208
2016-11-01,2.2315
2016-11-02,2.2335
2016-11-03,2.252
2016-11-04,2.2685
2016-11-07,2.3135
2016-11-08,2.383
2016-11-09,2.4615
2016-11-10,2.554
2016-11-11,2.5125
2016-11-14,2.5235
2016-11-15,2.5075
2016-11-16,2.4705
2016-11-17,2.4935
2016-11-18,2.47
2016-11-21,2.5195
2016-11-22,2.548
2016-11-23,2.6095
2016-11-25,2.673
2016-11-28,2.661
2016-11-29,2.6065
2016-11-30,2.6295
2016-12-01,2.639
2016-12-02,2.622
2016-12-05,2.6945
2016-12-06,2.677
2016-12-07,2.6415
2016-12-08,2.6235
2016-12-09,2.645
2016-12-12,2.616
2016-12-13,2.595
2016-12-14,2.6015
2016-12-15,2.597
2016-12-16,2.561
2016-12-19,2.4965
2016-12-20,2.4995
2016-12-21,2.494
2016-12-22,2.497
2016-12-23,2.476
2016-12-27,2.5125
2016-12-28,2.497
2016-12-29,2.488
2016-12-30,2.5055
2017-01-03,2.489
2017-01-04,2.5565
2017-01-05,2.5375
2017-01-06,2.546
2017-01-09,2.5385
2017-01-10,2.6125
2017-01-11,2.6105
2017-01-12,2.6715
2017-01-13,2.69
2017-01-17,2.625
2017-01-18,2.6165
2017-01-19,2.6105
2017-01-20,2.625
2017-01-23,2.6475
2017-01-24,2.7085
2017-01-25,2.71
2017-01-26,2.673
2017-01-27,2.6895
2017-01-30,2.661
2017-01-31,2.7335
2017-02-01,2.7175
2017-02-02,2.6925
2017-02-03,2.6225
2017-02-06,2.658
2017-02-07,2.6395
2017-02-08,2.6735
2017-02-09,2.6605
2017-02-10,2.775
2017-02-13,2.79
2017-02-14,2.746
2017-02-15,2.752
2017-02-16,2.728
2017-02-17,2.714
2017-02-21,2.7515
2017-02-22,2.74
2017-02-23,2.6515
2017-02-24,2.6885
2017-02-27,2.698
2017-02-28,2.714
2017-03-01,2.736
2017-03-02,2.6905
2017-03-03,2.6965
2017-03-06,2.652
2017-03-07,2.6185
2017-03-08,2.6005
2017-03-09,2.58
2017-03-10,2.595
2017-03-13,2.6255
2017-03-14,2.635
2017-03-15,2.6565
2017-03-16,2.6775
2017-03-17,2.6915
2017-03-20,2.667
2017-03-21,2.6185
2017-03-22,2.6305
2017-03-23,2.6445
2017-03-24,2.631
2017-03-27,2.632
2017-03-28,2.676
2017-03-29,2.6775
2017-03-30,2.6785
2017-03-31,2.66
2017-04-03,2.612
2017-04-04,2.621
2017-04-05,2.6885
2017-04-06,2.666
2017-04-07,2.6545
2017-04-10,2.611
2017-04-11,2.6155
2017-04-12,2.5535
2017-04-13,2.5785
2017-04-17,2.604
2017-04-18,2.5345
2017-04-19,2.5425
2017-04-20,2.5505
2017-04-21,2.5455
2017-04-24,2.5595
2017-04-25,2.5855
2017-04-26,2.5955
2017-04-27,2.593
2017-04-28,2.6025
2017-05-01,2.656
2017-05-02,2.631
2017-05-03,2.55
2017-05-04,2.5185
2017-05-05,2.5355
2017-05-08,2.5
2017-05-09,2.504
2017-05-10,2.5
2017-05-11,2.5135
2017-05-12,2.5295
2017-05-15,2.5445
2017-05-16,2.5565
2017-05-17,2.553
2017-05-18,2.538
2017-05-19,2.588
2017-05-22,2.602
2017-05-23,2.6025
2017-05-24,2.59
2017-05-25,2.6035
2017-05-26,2.573
2017-05-30,2.578
2017-05-31,2.593
2017-06-01,2.599
2017-06-02,2.5865
2017-06-05,2.57
2017-06-06,2.5595
2017-06-07,2.564
2017-06-08,2.6195
2017-06-09,2.6585
2017-06-12,2.627
2017-06-13,2.609
2017-06-14,2.5875
2017-06-15,2.5805
2017-06-16,2.5715
2017-06-19,2.598
2017-06-20,2.564
2017-06-21,2.6085
2017-06-22,2.604
2017-06-23,2.6295
2017-06-26,2.6325
2017-06-27,2.6545
2017-06-28,2.6685
2017-06-29,2.6955
2017-06-30,2.711
2017-07-03,2.693
2017-07-05,2.66
2017-07-06,2.6615
2017-07-07,2.647
2017-07-10,2.6475
2017-07-11,2.672
2017-07-12,2.684
2017-07-13,2.6615
2017-07-14,2.691
2017-07-17,2.724
2017-07-18,2.7305
2017-07-19,2.7105
2017-07-20,2.716
2017-07-21,2.7225
2017-07-24,2.7365
2017-07-25,2.8465
2017-07-26,2.872
2017-07-27,2.8775
2017-07-28,2.8825
2017-07-31,2.9
2017-08-01,2.889
2017-08-02,2.8915
2017-08-03,2.885
2017-08-04,2.8925
2017-08-07,2.915
2017-08-08,2.95
2017-08-09,2.9345
2017-08-10,2.911
2017-08-11,2.933
2017-08-14,2.927
2017-08-15,2.906
2017-08-16,2.976
2017-08-17,2.961
2017-08-18,2.9615
2017-08-21,3.0015
2017-08-22,3.0075
2017-08-23,3.003
2017-08-24,3.0565
2017-08-25,3.0565
2017-08-28,3.086
2017-08-29,3.1045
2017-08-30,3.0945
2017-08-31,3.106
2017-09-01,3.1245
2017-09-05,3.1345
2017-09-06,3.1585
2017-09-07,3.1505
2017-09-08,3.0485
2017-09-11,3.073
2017-09-12,3.043
2017-09-13,2.988
2017-09-14,2.9645
2017-09-15,2.956
2017-09-18,2.976
2017-09-19,2.976
2017-09-20,2.976
2017-09-21,2.9415
2017-09-22,2.9515
2017-09-25,2.9445
2017-09-26,2.926
2017-09-27,2.9365
2017-09-28,2.995
2017-09-29,2.955
2017-10-02,2.9555
2017-10-03,2.9635
2017-10-04,2.959
2017-10-05,3.0465
2017-10-06,3.029
2017-10-09,3.031
2017-10-10,3.0605
2017-10-11,3.0955
2017-10-12,3.12
2017-10-13,3.1335
2017-10-16,3.239
2017-10-17,3.1955
2017-10-18,3.178
2017-10-19,3.1675
2017-10-20,3.1655
2017-10-23,3.188
2017-10-24,3.198
2017-10-25,3.183
2017-10-26,3.1775
2017-10-27,3.1035
2017-10-30,3.119
2017-10-31,3.108
2017-11-01,3.1495
2017-11-02,3.1505
2017-11-03,3.125
2017-11-06,3.165
2017-11-07,3.097
2017-11-08,3.1065
2017-11-09,3.0935
2017-11-10,3.0835
2017-11-13,3.124
2017-11-14,3.073
2017-11-15,3.062
2017-11-16,3.056
2017-11-17,3.0755
2017-11-20,3.1005
2017-11-21,3.1355
2017-11-22,3.144
2017-11-24,3.1765
2017-11-27,3.142
2017-11-28,3.0815
2017-11-29,3.06
2017-11-30,3.0555
2017-12-01,3.084
2017-12-04,3.081
2017-12-05,2.9375
2017-12-06,2.9535
2017-12-07,2.956
2017-12-08,2.9705
2017-12-11,3.0035
2017-12-12,3.0145
2017-12-13,3.0445
2017-12-14,3.0635
2017-12-15,3.125
2017-12-18,3.1375
2017-12-19,3.143
2017-12-20,3.187
2017-12-21,3.21
2017-12-22,3.2295
2017-12-26,3.2715
2017-12-27,3.274
2017-12-28,3.3085
2017-12-29,3.3005
2018-01-02,3.278
2018-01-03,3.2575
2018-01-04,3.263
2018-01-05,3.2295
2018-01-08,3.224
2018-01-09,3.216
2018-01-10,3.2355
2018-01-11,3.233
2018-01-12,3.2185
2018-01-16,3.2195
2018-01-17,3.189
2018-01-18,3.199
2018-01-19,3.1875
2018-01-22,3.1985
2018-01-23,3.111
2018-01-24,3.2285
2018-01-25,3.2165
2018-01-26,3.199
2018-01-29,3.194
2018-01-30,3.1995
2018-01-31,3.2065
2018-02-01,3.22
2018-02-02,3.198
2018-02-05,3.2315
2018-02-06,3.2
2018-02-07,3.098
2018-02-08,3.092
2018-02-09,3.0435
2018-02-12,3.0965
2018-02-13,3.1715
2018-02-14,3.245
2018-02-15,3.2545
2018-02-16,3.258
2018-02-20,3.2015
2018-02-21,3.226
2018-02-22,3.2505
2018-02-23,3.223
2018-02-26,3.2115
2018-02-27,3.1865
2018-02-28,3.1325
2018-03-01,3.123
2018-03-02,3.1245
2018-03-05,3.128
2018-03-06,3.159
2018-03-07,3.136
2018-03-08,3.079
2018-03-09,3.136
2018-03-12,3.124
2018-03-13,3.138
2018-03-14,3.1585
2018-03-15,3.1275
2018-03-16,3.1075
2018-03-19,3.082
2018-03-20,3.038
2018-03-21,3.0585
2018-03-22,3.02
2018-03-23,2.993
2018-03-26,2.97
2018-03-27,3.0005
2018-03-28,3.0135
2018-03-29,3.037
2018-04-02,3.061
2018-04-03,3.0745
2018-04-04,3.021
2018-04-05,3.085
2018-04-06,3.069
2018-04-09,3.0865
2018-04-10,3.146
2018-04-11,3.1265
2018-04-12,3.074
2018-04-13,3.082
2018-04-16,3.1065
2018-04-17,3.0915
2018-04-18,3.17
2018-04-19,3.1425
2018-04-20,3.145
2018-04-23,3.1205
2018-04-24,3.1525
2018-04-25,3.146
2018-04-26,3.1265
2018-04-27,3.0695
2018-04-30,3.074
2018-05-01,3.0375
2018-05-02,3.0685
2018-05-03,3.0805
2018-05-04,3.0855
2018-05-07,3.079
2018-05-08,3.059
2018-05-09,3.0575
2018-05-10,3.11
2018-05-11,3.1115
2018-05-14,3.093
2018-05-15,3.056
2018-05-16,3.0705
2018-05-17,3.089
2018-05-18,3.0635
2018-05-21,3.0985
2018-05-22,3.132
2018-05-23,3.0705
2018-05-24,3.096
2018-05-25,3.0775
2018-05-29,3.0625
2018-05-30,3.0795
2018-05-31,3.075
2018-06-01,3.1085
2018-06-04,3.144
2018-06-05,3.208
2018-06-06,3.272
2018-06-07,3.2845
2018-06-08,3.31
2018-06-11,3.2665
2018-06-12,3.2595
2018-06-13,3.2635
2018-06-14,3.232
2018-06-15,3.1555
2018-06-18,3.1175
2018-06-19,3.058
2018-06-20,3.051
2018-06-21,3.0325
2018-06-22,3.038
2018-06-25,2.9985
2018-06-26,3.005
2018-06-27,2.9975
2018-06-28,2.9715
2018-06-29,2.966
2018-07-02,2.944
2018-07-03,2.917
2018-07-05,2.826
2018-07-06,2.824
2018-07-09,2.85
2018-07-10,2.8395
2018-07-11,2.7435
2018-07-12,2.777
2018-07-13,2.7755
2018-07-16,2.7645
2018-07-17,2.747
2018-07-18,2.76
2018-07-19,2.6955
2018-07-20,2.756
2018-07-23,2.7465
2018-07-24,2.8105
2018-07-25,2.8175
2018-07-26,2.818
2018-07-27,2.802
2018-07-30,2.801
2018-07-31,2.8405
2018-08-01,2.757
2018-08-02,2.7455
2018-08-03,2.7715
2018-08-06,2.7385
2018-08-07,2.759
2018-08-08,2.7575
2018-08-09,2.7725
2018-08-10,2.75
2018-08-13,2.738
2018-08-14,2.69
2018-08-15,2.568
2018-08-16,2.623
2018-08-17,2.635
2018-08-20,2.6745
2018-08-21,2.7005
2018-08-22,2.68
2018-08-23,2.662
2018-08-24,2.7085
2018-08-27,2.717
2018-08-28,2.745
2018-08-29,2.7195
2018-08-30,2.7095
2018-08-31,2.6645
2018-09-04,2.5965
2018-09-05,2.604
2018-09-06,2.63
2018-09-07,2.616
2018-09-10,2.6215
2018-09-11,2.615
2018-09-12,2.669
2018-09-13,2.676
2018-09-14,2.638
2018-09-17,2.6435
2018-09-18,2.723
2018-09-19,2.7215
2018-09-20,2.7315
2018-09-21,2.848
2018-09-24,2.827
2018-09-25,2.8145
2018-09-26,2.8185
2018-09-27,2.783
2018-09-28,2.805
2018-10-01,2.7875
2018-10-02,2.8065
2018-10-03,2.834
2018-10-04,2.7775
2018-10-05,2.763
2018-10-08,2.767
2018-10-09,2.8065
2018-10-10,2.7805
2018-10-11,2.803
2018-10-12,2.8005
2018-10-15,2.7885
2018-10-16,2.7795
2018-10-17,2.778
2018-10-18,2.7465
2018-10-19,2.778
2018-10-22,2.7855
2018-10-23,2.758
2018-10-24,2.7575
2018-10-25,2.7545
2018-10-26,2.741
2018-10-29,2.7405
2018-10-30,2.6725
2018-10-31,2.667
2018-11-01,2.7285
2018-11-02,2.813
2018-11-05,2.764
2018-11-06,2.7395
2018-11-07,2.761
2018-11-08,2.7425
2018-11-09,2.691
2018-11-12,2.6845
2018-11-13,2.695
2018-11-14,2.718
2018-11-15,2.754
2018-11-16,2.8035
2018-11-19,2.8035
2018-11-20,2.7715
2018-11-21,2.8005
2018-11-22,2.798
2018-11-23,2.774
2018-11-26,2.7635
2018-11-27,2.716
2018-11-28,2.805
2018-11-29,2.788
2018-11-30,2.7865
2018-12-03,2.8085
2018-12-04,2.757
2018-12-05,2.775
2018-12-06,2.744
2018-12-07,2.7595
2018-12-10,2.72
2018-12-11,2.768
2018-12-12,2.7715
2018-12-13,2.7665
2018-12-14,2.7615
2018-12-17,2.7545
2018-12-18,2.665
2018-12-19,2.7195
2018-12-20,2.7005
2018-12-21,2.6765
2018-12-24,2.666
2018-12-25,2.661
2018-12-26,2.7045
2018-12-27,2.671
2018-12-28,2.6815
2018-12-31,2.631
2019-01-01,2.652
2019-01-02,2.623
2019-01-03,2.568
2019-01-04,2.6475
2019-01-07,2.637
2019-01-08,2.656
2019-01-09,2.657
2019-01-10,2.6375
2019-01-11,2.662
2019-01-14,2.635
2019-01-15,2.6345
2019-01-16,2.6735
2019-01-17,2.68
2019-01-18,2.719
2019-01-20,2.709
2019-01-21,2.682
2019-01-22,2.6595
2019-01-23,2.6545
2019-01-24,2.6445
2019-01-25,2.729
2019-01-28,2.68
2019-01-29,2.725
2019-01-30,2.772
2019-01-31,2.789
2019-02-01,2.7775
2019-02-04,2.7975
2019-02-05,2.8205
2019-02-06,2.84
2019-02-07,2.832
2019-02-08,2.814
2019-02-11,2.793
2019-02-12,2.775
2019-02-13,2.776
2019-02-14,2.7785
2019-02-15,2.8025
2019-02-17,2.816
2019-02-18,2.838
2019-02-19,2.8775
2019-02-20,2.92
2019-02-21,2.8975
2019-02-22,2.949
2019-02-25,2.947
2019-02-26,2.948
2019-02-27,2.9625
2019-02-28,2.948
2019-03-01,2.932
2019-03-04,2.909
2019-03-05,2.9335
2019-03-06,2.9185
2019-03-07,2.9105
2019-03-08,2.8935
2019-03-11,2.901
2019-03-12,2.9285
2019-03-13,2.9355
2019-03-14,2.8915
2019-03-15,2.906
2019-03-18,2.909
2019-03-19,2.923
2019-03-20,2.921
2019-03-21,2.906
2019-03-22,2.8425
2019-03-25,2.8565
2019-03-26,2.854
2019-03-27,2.863
2019-03-28,2.877
2019-03-29,2.9395
2019-04-01,2.9285
2019-04-02,2.9105
2019-04-03,2.9525
2019-04-04,2.915
2019-04-05,2.9
2019-04-08,2.937
2019-04-09,2.9385
2019-04-10,2.9305
2019-04-11,2.892
2019-04-12,2.9495
2019-04-15,2.9385
2019-04-16,2.9345
2019-04-17,2.97
2019-04-18,2.923
2019-04-19,2.918
2019-04-22,2.905
2019-04-23,2.898
2019-04-24,2.9135
2019-04-25,2.865
2019-04-26,2.8915
2019-04-29,2.897
2019-04-30,2.904
2019-05-01,2.8015
2019-05-02,2.7795
2019-05-03,2.819
2019-05-06,2.8295
2019-05-07,2.7855
2019-05-08,2.7745
2019-05-09,2.7715
2019-05-10,2.7745
2019-05-13,2.719
2019-05-14,2.725
2019-05-15,2.743
2019-05-16,2.748
2019-05-17,2.7385
2019-05-20,2.726
2019-05-21,2.715
2019-05-22,2.678
2019-05-23,2.6805
2019-05-24,2.6995
2019-05-26,2.701
2019-05-27,2.713
2019-05-28,2.696
2019-05-29,2.664
2019-05-30,2.6565
2019-05-31,2.6405
2019-06-03,2.651
2019-06-04,2.67
2019-06-05,2.6245
2019-06-06,2.6515
2019-06-07,2.6295
2019-06-10,2.6625
2019-06-11,2.673
2019-06-12,2.655
2019-06-13,2.658
2019-06-14,2.631
2019-06-17,2.6455
2019-06-18,2.7025
2019-06-19,2.6805
2019-06-20,2.7125
2019-06-21,2.7055
2019-06-24,2.7065
2019-06-25,2.7365
2019-06-26,2.7155
2019-06-27,2.7165
2019-06-28,2.7135
2019-07-01,2.688
2019-07-02,2.664
2019-07-03,2.683
2019-07-04,2.68
2019-07-05,2.661
2019-07-08,2.659
2019-07-09,2.625
2019-07-10,2.694
2019-07-11,2.6875
2019-07-12,2.694
2019-07-15,2.711
2019-07-16,2.7
2019-07-17,2.716
2019-07-18,2.71
2019-07-19,2.7525
2019-07-22,2.722
2019-07-23,2.7
2019-07-24,2.712
2019-07-25,2.7035
2019-07-26,2.685
2019-07-29,2.7175
