Date,Close,,,,,
2025-05-20,33.174,,,,,
2025-05-19,32.507,,,,,
2025-05-15,32.68,,,,,
2025-05-14,32.444,,,,,
2025-05-13,33.1,,,,,
2025-05-12,32.624,,,,,
2025-05-08,32.617,,,,,
2025-05-07,32.791,,,,,
2025-05-06,33.381,,,,,
2025-05-05,32.474,,,,,
2025-05-01,32.469,,,,,
2025-04-30,32.828,,,,,
2025-04-29,33.577,,,,,
2025-04-28,33.165,,,,,
2025-04-24,33.503,,,,,
2025-04-23,33.547,,,,,
2025-04-22,32.905,,,,,
2025-04-21,32.521,,,,,
2025-04-16,32.98,,,,,
2025-04-15,32.297,,,,,
2025-04-14,32.167,,,,,
2025-04-10,30.759,,,,,
2025-04-09,30.415,,,,,
2025-04-08,29.686,,,,,
2025-04-07,29.604,,,,,
2025-04-03,31.97,,,,,
2025-04-02,34.65,,,,,
2025-04-01,34.309,,,,,
2025-03-31,34.611,,,,,
2025-03-27,34.905,,,,,
2025-03-26,34.054,,,,,
2025-03-25,34.023,,,,,
2025-03-24,33.45,,,,,
2025-03-20,33.991,,,,,
2025-03-19,34.205,,,,,
2025-03-18,34.818,,,,,
2025-03-17,34.308,,,,,
2025-03-13,34.306,,,,,
2025-03-12,33.743,,,,,
2025-03-11,33.147,,,,,
2025-03-10,32.53,,,,,
2025-03-06,33.338,,,,,
2025-03-05,33.134,,,,,
2025-03-04,32.381,,,,,
2025-03-03,32.31,,,,,
2025-02-27,32.11,,,,,
2025-02-26,32.419,,,,,
2025-02-25,31.976,,,,,
2025-02-24,32.763,,,,,
2025-02-20,33.486,,,,,
2025-02-19,33.043,,,,,
2025-02-18,33.373,,,,,
2025-02-13,32.726,,,,,
2025-02-12,32.785,,,,,
2025-02-11,32.322,,,,,
2025-02-10,32.491,,,,,
2025-02-06,32.626,,,,,
2025-02-05,32.976,,,,,
2025-02-04,33.022,,,,,
2025-02-03,32.526,,,,,
2025-01-30,32.493,,,,,
2025-01-29,31.264,,,,,
2025-01-28,30.755,,,,,
2025-01-27,30.283,,,,,
2025-01-23,30.712,,,,,
2025-01-22,31.42,,,,,
2025-01-21,31.496,,,,,
2025-01-16,31.725,,,,,
2025-01-15,31.531,,,,,
2025-01-14,30.351,,,,,
2025-01-13,30.309,,,,,
2025-01-09,31.015,,,,,
2025-01-08,30.69,,,,,
2025-01-07,30.686,,,,,
2025-01-06,30.583,,,,,
2025-01-02,29.9,,,,,
2024-12-30,29.412,,,,,
2024-12-26,30.234,,,,,
