break_idx,break_date,F_stat
332,2022-02-03,2.3160383062536285
333,2022-02-04,2.144688302446804
334,2022-02-07,2.146837826394933
335,2022-02-08,2.116159150323421
336,2022-02-09,2.1132005597578347
337,2022-02-10,1.9547991643608038
338,2022-02-11,2.0792200683734197
339,2022-02-14,2.1466080757647146
340,2022-02-15,2.155443589482262
341,2022-02-16,2.1228153548057693
342,2022-02-17,2.0837353457902217
343,2022-02-18,2.061186216013979
344,2022-02-22,2.060659235620548
345,2022-02-23,2.0539217457570396
346,2022-02-24,2.0396356186951836
347,2022-02-25,1.9508836726122403
348,2022-02-28,1.934668578654882
349,2022-03-01,1.9190172443960727
350,2022-03-02,1.4119866722090888
351,2022-03-03,1.430728849272383
352,2022-03-04,1.3616189734643307
353,2022-03-07,1.1460712265414135
354,2022-03-08,1.02877465990672
355,2022-03-09,0.9509889965643801
356,2022-03-10,0.9369052931024134
357,2022-03-11,1.0268443562008436
358,2022-03-14,1.0492602577933279
359,2022-03-15,0.92436364669996
360,2022-03-16,0.9232745484622528
361,2022-03-17,0.8886600697051068
362,2022-03-18,0.8893850338632355
363,2022-03-21,0.889406717664535
364,2022-03-22,0.8900290081144321
365,2022-03-23,0.8942151288906952
366,2022-03-24,1.0125482592582593
367,2022-03-25,1.037665728310095
368,2022-03-28,1.0364425922277871
369,2022-03-29,1.0364993610382247
370,2022-03-30,1.0457130223229703
371,2022-03-31,1.0391834395650128
372,2022-04-01,1.0829932231566028
373,2022-04-04,1.1403280004599887
374,2022-04-05,1.1438887651767586
375,2022-04-06,1.0845192636736272
376,2022-04-07,1.0979943175498157
377,2022-04-08,1.0704120975268534
378,2022-04-11,1.0758106889280086
379,2022-04-12,1.085244733396813
380,2022-04-13,1.22037269656096
381,2022-04-14,1.193249057262969
382,2022-04-18,1.1890744579823427
383,2022-04-19,1.252858455310686
384,2022-04-20,1.3874071483038106
385,2022-04-21,1.2871994675951417
386,2022-04-22,1.3216358696273234
387,2022-04-25,1.3198596158785583
388,2022-04-26,1.1648889969660927
389,2022-04-27,1.2504847283517686
390,2022-04-28,1.2660560501437632
391,2022-04-29,1.2804385729813308
392,2022-05-02,1.2321273659417697
393,2022-05-03,1.1128828509662434
394,2022-05-04,1.117082712048442
395,2022-05-05,1.1095248920393774
396,2022-05-06,1.1214636582733197
397,2022-05-09,1.118054019557759
398,2022-05-10,0.9890472407560892
399,2022-05-11,0.9351278373757698
400,2022-05-12,0.9692962882212481
401,2022-05-13,0.901462530684032
402,2022-05-16,0.848148248022912
