t,Date,TCI
189,189,60.00282263531462
190,190,60.077588734733745
191,191,57.23675093761098
192,192,55.09796929851982
193,193,54.95731077826982
194,194,53.911854020769724
195,195,54.64396687278127
196,196,53.75840015758446
197,197,53.42469099155134
198,198,58.86855188160386
199,199,56.609968141062936
200,200,52.451861431861026
201,201,53.95707500811993
202,202,51.924006617614424
203,203,53.077697868408016
204,204,63.763689939597576
205,205,56.65039482886479
206,206,56.1665213510976
207,207,57.693948201122204
208,208,57.53000725541884
209,209,56.20414457277909
210,210,56.10122250831452
211,211,52.649146296564076
212,212,52.722776411084894
213,213,55.23342350558285
214,214,56.52093697467887
215,215,53.69979503267105
216,216,54.62396075811379
217,217,53.9877560537284
218,218,53.47603238809666
219,219,76.3815443395223
220,220,65.2908970466916
221,221,69.12604564626645
222,222,62.964728583014676
223,223,62.13948635783547
224,224,62.31107605624715
225,225,63.42953328158292
226,226,62.741947918619125
227,227,61.6493545941184
228,228,61.797285518966305
229,229,61.40468763874036
230,230,61.200159196932155
231,231,56.8677694343039
232,232,55.89750175652597
233,233,55.16967479248677
234,234,57.315717520719176
235,235,60.446069541590134
236,236,61.56196728564278
237,237,60.041081206008826
238,238,57.677754968415115
239,239,56.62832523357415
240,240,56.76293602238983
241,241,55.6162911532899
242,242,55.25214394922152
243,243,53.67228145321793
244,244,53.311097350497775
245,245,56.78552445515444
246,246,51.046269537686385
247,247,51.50414783861616
248,248,50.826727588530964
249,249,50.78898537285315
250,250,48.03365946910048
251,251,50.23084008159786
252,252,48.297619023868215
253,253,48.76925039765826
254,254,49.02609019638513
255,255,48.4851408608567
256,256,47.7262940862645
257,257,47.04637514360655
258,258,47.15254732024725
259,259,46.47066053921974
260,260,48.32388598129144
261,261,48.0918692740039
262,262,50.09084219248982
263,263,53.07993097835121
264,264,53.83013467519546
265,265,51.77389732192882
266,266,52.38678803753473
267,267,50.65989590259316
268,268,53.02774715611716
269,269,56.03642531289991
270,270,54.42523139520672
271,271,53.21233069314005
272,272,55.24520561415158
273,273,52.708627034186236
274,274,51.47897848779894
275,275,50.935828612446066
276,276,54.8840751209663
277,277,64.1368527656398
278,278,59.11355947775277
279,279,55.37565352643019
280,280,55.386808500301875
281,281,53.91417684855696
282,282,53.422332407905735
283,283,53.57671275581824
284,284,54.15883515202753
285,285,53.575270107595266
286,286,57.03377948562984
287,287,53.080028243766634
288,288,54.5633122105376
289,289,50.699326146003564
290,290,53.56226403814708
291,291,54.103168904996345
292,292,54.280328398035685
293,293,56.272222503472754
294,294,59.54603831151169
295,295,65.64048600813359
296,296,60.29795192838058
297,297,58.767692480673006
298,298,58.477766848839664
299,299,60.95796670866949
300,300,59.2537200397137
301,301,60.445059819885635
302,302,59.619212934365585
303,303,60.932785433633896
304,304,57.12882048413748
305,305,57.449979810332174
306,306,56.21727632184601
307,307,55.87722225530556
308,308,55.583353735951135
309,309,55.1305573618748
310,310,53.84762845598281
311,311,53.251138117286445
312,312,55.73498314306708
313,313,57.02686891205835
314,314,58.01966627023092
315,315,55.73122660844743
316,316,53.71029706871744
317,317,59.20859328698364
318,318,54.05956509656469
319,319,53.62836588151614
320,320,54.90825923633296
321,321,56.52478278690375
322,322,54.253962308734216
323,323,58.15758327355724
324,324,56.63121998710112
325,325,56.98290921129752
326,326,56.6023314071298
327,327,61.012169431034046
328,328,58.601408375506836
329,329,63.065753238295905
330,330,75.48332694284782
331,331,74.65036962661961
332,332,73.18146484540055
333,333,77.67116634308707
334,334,78.14512624304581
335,335,75.57270454927254
336,336,75.69453513981468
337,337,75.36981749559884
338,338,75.25842219562166
339,339,75.70062910813347
340,340,76.5021306265268
341,341,75.03710895551718
342,342,71.57593550082717
343,343,71.56451118607316
344,344,76.55686911638713
345,345,75.9566352761819
