Date,FROM_dlog_SOLVPN,TO_dlog_SOLVPN,NET_dlog_SOLVPN,FROM_dlog_COPPER,TO_dlog_COPPER,NET_dlog_COPPER,FROM_dlog_GOLD,TO_dlog_GOLD,NET_dlog_GOLD,FROM_dlog_SILVER,TO_dlog_SILVER,NET_dlog_SILVER,FROM_dlog_DXY,TO_dlog_DXY,NET_dlog_DXY,FROM_dlog_OIL,TO_dlog_OIL,NET_dlog_OIL,FROM_dlog_GAS,TO_dlog_GAS,NET_dlog_GAS,FROM_d_UST10Y,TO_d_UST10Y,NET_d_UST10Y,FROM_d_VIX,TO_d_VIX,NET_d_VIX,FROM_d_PJM_LMP,TO_d_PJM_LMP,NET_d_PJM_LMP,TCI
2024-09-25,63.350078497646024,84.93665728811246,21.586578790466433,68.74813657413998,80.43654488783034,11.68840831369036,71.99838495754332,65.97333801951389,-6.025046938029433,72.33067777259132,95.875332412914,23.54465464032269,73.93043080036797,36.38329665377005,-37.54713414659792,51.87353832606073,34.14373779543832,-17.729800530622413,48.84721722849407,34.42007246372116,-14.427144764772905,59.68728986989901,53.1342481932818,-6.553041676617212,67.95310452592584,99.98921137505502,32.03610684912918,44.64146332017576,38.067882783206954,-6.573580536968805,62.3360321872844
2024-09-26,62.90403863208197,90.61908895662185,27.71505032453988,67.81682072071851,73.16134326474588,5.34452254402737,70.74906693759355,66.45200180791916,-4.297065129674394,70.77158815481818,96.37438584936996,25.602797694551782,74.60430967485222,36.054405697274916,-38.5499039775773,56.27006933130267,33.1940679437788,-23.076001387523874,51.00794262622231,31.777818079526703,-19.230124546695606,56.36195249536051,50.41710687570685,-5.9448456196536625,67.46076331591877,106.74196437003573,39.28120105411696,44.87373797104368,38.028107014932445,-6.845630956111236,62.28202898599123
2024-09-30,62.35121859799734,92.27484668339804,29.9236280854007,67.01464811210244,74.8297008122399,7.815052700137471,72.25892549289105,69.52481482491157,-2.734110667979479,71.22747265589742,99.00179542928828,27.774322773390864,76.92717994706598,37.53179521292078,-39.3953847341452,45.86897134658737,22.74948807199837,-23.119483274589,47.449359105319765,33.26958132400315,-14.179777781316616,56.713504892780456,43.65232260281221,-13.061182289968244,67.3737270643428,103.46704758815343,36.09332052381063,50.21750896670685,41.1011236319657,-9.116385334741153,61.74025161816915
2024-10-01,62.52287019840327,93.07155347672182,30.54868327831855,67.44996045727854,80.42573055105473,12.975770093776191,73.31924780798192,63.76821339139701,-9.551034416584912,70.3570331590289,96.95422995386299,26.59719679483409,59.67120092459607,45.32255570749003,-14.34864521710604,55.02671522341683,20.973810971749757,-34.05290425166707,46.567822958656954,22.027480498584417,-24.540342460072537,57.459472207108966,44.539712594600296,-12.91975961250867,65.96186573272821,106.01899420653356,40.05712847380535,50.18239132675584,35.41629864396088,-14.766092682794962,60.85185799959555
2024-10-02,62.447331321400014,81.67576704148846,19.22843572008844,66.31367508108818,72.7300033917229,6.416328310634725,74.36202191214844,58.06603033543304,-16.295991576715394,70.6540909965371,89.50274623720962,18.848655240672528,49.61455294667113,38.99878652498409,-10.615766421687042,66.44976095364717,27.427975367466104,-39.02178558618107,39.94921044212395,19.67932115144503,-20.26988929067892,56.2600006126599,61.731327011792224,5.471326399132323,65.92386363086115,115.42294533517776,49.49908170431661,46.90888280533873,33.64848830575654,-13.26039449958219,59.88833907024757
2024-10-03,65.88121787969521,79.78695380043976,13.905735920744547,70.64555482949274,63.923045880295895,-6.722508949196843,73.65514431647217,58.360155733584776,-15.294988582887399,69.83150593832427,84.90672502496152,15.075219086637247,55.47107823034653,43.13298702562707,-12.338091204719461,43.49133208696404,28.939465872679854,-14.551866214284189,39.01390853112944,19.98206744229379,-19.031841088835648,55.88950840738633,70.57491457771654,14.68540617033021,65.35306430846725,111.32553285505236,45.972468546585105,54.088710726455865,32.38917704208222,-21.699533684373648,59.33210252547339
2024-10-07,62.200386741214395,67.40596569102104,5.205578949806643,70.65888826556927,56.77179267241702,-13.887095593152253,72.28177873669082,66.67455425087553,-5.607224485815294,67.21608961895109,82.25900439275742,15.04291477380633,55.97017494838548,46.560470113180486,-9.409704835204991,48.55359893340599,36.16737270259155,-12.386226230814444,35.64994928522931,22.29957934497517,-13.35036994025414,60.3908424891616,62.88710412630752,2.4962616371459205,66.84574945361553,107.88529943986711,41.039549986251586,44.91096631874315,35.76728205697371,-9.143684261769437,58.46784247909667
2024-10-08,61.48862568033183,78.86649797750786,17.377872297176033,64.1797341402987,69.13374813246452,4.954013992165812,77.34771427107064,77.71570503976662,0.36799076869597513,72.48510544094623,101.42527008733632,28.940164646390087,48.117461270438035,34.97578233017743,-13.141678940260604,66.56167272766751,39.81301875506441,-26.7486539726031,50.77288425529629,17.403717421386247,-33.36916683391004,66.27177301851339,67.93920035039116,1.667427331877775,64.3455172513213,106.86356340192586,42.51804615060456,45.21686708718297,22.650851647046572,-22.566015440136397,61.678735514306695
2024-10-09,62.31729841888035,78.6190694502447,16.301771031364346,71.49880630497752,49.905421261072135,-21.593385043905386,78.36657471858305,83.51586766844677,5.149292949863721,72.40640659285079,100.14221737693295,27.73581078408216,55.32845266864834,45.18748364051787,-10.14096902813047,69.18548790357124,23.135504159534,-46.04998374403724,44.374208960012794,18.041986891273766,-26.33222206873903,48.666357877402255,68.88876414830872,20.22240627090647,64.63868982945883,116.02594826335394,51.38725843389511,38.513893485413774,21.833913900114126,-16.679979585299648,60.5296176759799
2024-10-10,61.585340638204116,79.67817642067969,18.092835782475575,69.92924493877476,52.22952647576766,-17.699718463007095,78.57772697357032,85.86912988637269,7.2914029128023685,73.21026315499029,101.38120711663731,28.170943961647026,54.543650614810474,44.039439489692,-10.504211125118474,72.69259343572718,23.094076374136595,-49.598517061590584,48.89213783186422,17.054371233957113,-31.837766597907105,48.68105886277449,66.92775468256765,18.24669581979316,63.63325456043502,119.87680303486312,56.243548474428096,40.57188416850046,22.166670464977457,-18.405213703523003,61.23171551796512
2024-10-15,62.45220378567251,72.58687714402987,10.134673358357361,76.63600713713682,68.91706438038133,-7.718942756755482,78.93039319043898,72.34227547193733,-6.58811771850165,74.10787096407728,84.94780113037777,10.83993016630049,61.746781335239504,36.037827232803735,-25.70895410243577,56.95254446234981,46.10902981825446,-10.84351464409535,51.64992516639386,29.029262715494596,-22.62066245089926,52.3101371990731,65.35459432175686,13.044457122683767,62.937115116140426,115.56958207036797,52.632466954227546,52.69631023235323,39.52497430347145,-13.171335928881774,63.04192885888756
2024-10-16,63.350841877247376,82.98289455503165,19.632052677784273,70.7484292029575,54.39537825303486,-16.353050949922633,76.96714594808846,80.2096397524228,3.2424938043343445,73.11590121505012,96.53150817789754,23.41560696284742,57.69627374452547,39.07665527448191,-18.619618470043562,56.273239625007896,33.09383529516453,-23.179404329843365,51.93564725936306,16.413699496309256,-35.5219477630538,47.63219380852354,61.51355291372113,13.881359105197589,62.69376655068632,121.72348009724324,59.02971354655692,47.2272345370998,21.700029953242655,-25.52720458385714,60.764067376854975
2024-10-17,64.72037537964587,77.5606588065697,12.840283426923833,67.18545346834448,54.02004378766725,-13.165409680677229,76.25080681801985,71.1810745858527,-5.069732232167155,71.27012370740485,90.62309226810024,19.352968560695388,57.640168202956666,44.25937479293197,-13.380793410024694,56.079745222213546,34.58111058755006,-21.49863463466349,46.57244353179808,17.21280527263753,-29.359638259160548,47.746873747634965,64.59849655584453,16.85162280820957,61.47195935919785,118.6651051001173,57.193145740919455,46.507726600062256,22.74391428000709,-23.763812320055166,59.54456760372783
