Date,DeltaS_SOLVPN_to_COPPER,DeltaS_COPPER_to_SOLVPN,PairDeltaTotal,Asymmetry_DeltaS,AbsAsymmetry_DeltaS,Share_SOLVPN_to_COPPER,Share_COPPER_to_SOLVPN,SC_Baseline,SC_InitialResponse,SC_Peak,SC_PeakHorizon,SC_HalfLife,SC_DurationAboveHalf,SC_AUC,SC_MaxHorizonUsed,CS_Baseline,CS_InitialResponse,CS_Peak,CS_PeakHorizon,CS_HalfLife,CS_DurationAboveHalf,CS_AUC,CS_MaxHorizonUsed,RelationshipType
2022-03-02,0.312901534613845,0.0295317577452351,0.3424332923590801,0.2833697768686099,0.2833697768686099,0.9137590929264329,0.08624090707356721,0.34971553020646345,-0.312901534613845,0.312901534613845,0,,21,5.74800313889784,20,0.05119222278921828,0.029531757745235164,0.21293101782862708,14,1.0,20,2.5595320536509947,20,SOLVPN_driven
2022-03-07,0.1302477476770463,0.096755161972699,0.2270029096497453,0.03349258570434731,0.03349258570434731,0.5737712696194617,0.4262287303805384,0.0404481133717511,0.1302477476770463,0.1302477476770463,0,1.0,1,0.8431227730048882,20,0.0641592112219258,0.09675516197269907,0.19996402939591956,12,4.0,16,2.3839627035268256,20,bilateral
2022-06-13,0.0467706619377411,0.0100642682814329,0.056834930219174,0.0367063936563082,0.0367063936563082,0.8229210761300876,0.17707892386991247,0.12374497572003028,0.04677066193774117,0.11853316694581857,10,2.0,17,1.5433012923645257,20,0.09867702342038492,0.010064268281432906,0.11731190076633063,6,14.0,20,0.6734301936423727,20,SOLVPN_driven
2022-07-28,0.1696952512036493,0.0300476642489526,0.19974291545260192,0.1396475869546967,0.1396475869546967,0.849568310441114,0.15043168955888586,0.08247701167059819,0.1696952512036493,0.22788276053711953,3,4.0,4,1.454870792421864,20,0.030495179320922338,0.03004766424895264,0.08329633947869183,20,7.0,15,0.5157198991121412,20,SOLVPN_driven
2022-09-13,0.0382558454791626,0.0573163805506731,0.0955722260298357,-0.019060535071510495,0.019060535071510495,0.40028203870881807,0.5997179612911819,0.07814264261776795,0.03825584547916264,0.05494228235985053,2,10.0,19,0.7371063957333316,20,0.05833857958507961,0.05731638055067316,0.09868015909898441,7,10.0,12,0.9289965202936672,20,bilateral
2022-11-10,0.0083992863520212,0.1657159493832021,0.1741152357352233,-0.15731666303118091,0.15731666303118091,0.048239812653695494,0.9517601873463045,0.07154533597175351,-0.008399286352021265,0.058424227036893275,2,11.0,20,0.7741094073553018,20,0.011244241181153598,0.16571594938320217,0.34341797091703347,3,4.0,7,2.3341009266975457,20,COPPER_driven
2022-11-14,0.0475301233902153,0.0760798588128283,0.1236099822030436,-0.028549735422613007,0.028549735422613007,0.3845168694559118,0.6154831305440882,0.06314604961973225,0.04753012339021537,0.06682351338891454,1,3.0,15,0.7074111665333128,20,0.17696019056435577,0.07607985881282833,0.17770202153383127,2,,21,2.446900578709268,20,bilateral
2022-11-17,0.0621469789709501,0.263122120668646,0.3252690996395961,-0.2009751416976959,0.2009751416976959,0.1910632735781236,0.8089367264218763,0.11112360339291392,-0.0621469789709501,0.0948068592766468,16,,21,1.6542592288050184,20,0.35466221209818705,-0.263122120668646,0.31632081015982844,2,15.0,19,5.67595708923859,20,COPPER_driven
2022-12-15,0.0034007087165191,0.2601680928764853,0.2635688015930044,-0.2567673841599662,0.2567673841599662,0.012902546492472883,0.9870974535075271,0.0226249498231132,-0.0034007087165191623,0.14587195205014367,15,,21,0.6481125928019451,20,0.0793242619031889,0.26016809287648535,0.26016809287648535,0,2.0,2,1.075430536634194,20,COPPER_driven
2022-12-20,0.0043368237491774,0.2298467117824159,0.2341835355315933,-0.2255098880332385,0.2255098880332385,0.018518909706153643,0.9814810902938463,0.01631674411626713,0.0043368237491774285,0.15218015775698973,13,,21,0.806190542035586,20,0.2987061124688846,-0.2298467117824159,0.2889435456511736,12,,21,4.7258275094328255,20,COPPER_driven
