Date,SOLVPN,log_price,log_price_hat,price_hat
2021-10-28,1135.73,7.035030894975328,6.974273491282095,1068.7804288476834
2021-10-29,1125.21,7.025724963885133,6.974211676039008,1068.714363967597
2021-11-01,1134.17,7.033656384868623,6.9741444541060575,1068.6425253368716
2021-11-02,1136.59,7.035787830654336,6.974071827150949,1068.5649159024595
2021-11-03,1139.94,7.038730908424504,6.973993797000474,1068.4815388742825
2021-11-04,1133.56,7.033118401938809,6.973910365641239,1068.3923977258123
2021-11-05,1125.32,7.025822718636314,6.973821535220404,1068.2974961946393
2021-11-08,1134.8,7.034211702934696,6.973727308046414,1068.1968382830223
2021-11-09,1141.07,7.039721697673512,6.97362768658973,1068.0904282584163
2021-11-10,1126.12,7.026533374957307,6.973522673483568,1067.9782706539943
2021-11-11,1129.65,7.0296631292154705,6.973412271524621,1067.8603702691385
2021-11-12,1139.53,7.0383711756757315,6.973296483673794,1067.7367321699141
2021-11-15,1148.44,7.046159778709635,6.973175313056939,1067.6073616895474
2021-11-16,1152.41,7.049610680715244,6.973048762965569,1067.4722644288443
2021-11-17,1155.15,7.051985484653369,6.972916836857601,1067.3314462566345
2021-11-18,1154.38,7.051318682292257,6.972779538358074,1067.1849133101728
2021-11-19,1155.2,7.052028768138562,6.972636871259874,1067.0326719955194
2021-11-22,1147.06,7.044957426136122,6.972488839524464,1066.8747289879227
2021-11-23,1148.46,7.0461771934860735,6.9723354472826005,1066.7110912321573
2021-11-24,1161.07,7.057097272731341,6.972176698835062,1066.541765942871
2021-11-25,1161.42,7.057398673385509,6.97201259865336,1066.3667606048837
2021-11-26,1145.28,7.043404427577661,6.971843151380475,1066.1860829735022
2021-11-29,1165.33,7.060759587691326,6.971668361831555,1065.9997410747771
2021-11-30,1151.31,7.048655703475303,6.9714882349946485,1065.8077432057778
2021-12-01,1136.25,7.0354886454916885,6.971302776031409,1065.6100979348196
2021-12-02,1145.03,7.0431861165184655,6.971111990277818,1065.4068141016974
2021-12-03,1134.56,7.0340001895556865,6.970915883244887,1065.1979008178712
2021-12-06,1133.3,7.032889009738903,6.970714460619382,1064.9833674666668
2021-12-07,1158.57,7.054941765007762,6.970507728264521,1064.7632237034263
2021-12-08,1160.58,7.056675159142062,6.970295692220688,1064.5374794556576
2021-12-09,1147.48,7.045323512588911,6.970078358706138,1064.3061449231611
2021-12-10,1150.44,7.047899756876905,6.969855734117701,1064.0692305781345
2021-12-13,1156.55,7.05319671463231,6.969627825031484,1063.8267471652582
2021-12-14,1145.98,7.044015445115416,6.969394638203578,1063.5787057017703
2021-12-15,1158.21,7.054630988841793,6.96915618057075,1063.3251174775078
2021-12-16,1161.59,7.057545035218048,6.968912459251141,1063.0659940549363
2021-12-17,1163.86,7.0594973461436865,6.968663481544966,1062.801347269166
2021-12-20,1156.86,7.053464717279359,6.968409254935206,1062.5311892279376
2021-12-21,1164.13,7.059729305904003,6.968149787088297,1062.2555323115953
2021-12-22,1171.0,7.065613363597717,6.96788508585482,1061.9743891730338
2021-12-23,1171.59,7.06611707958086,6.967615159270193,1061.687772737641
2021-12-27,1189.78,7.0815236950647,6.96734001555535,1061.3956962032005
2021-12-28,1192.95,7.084184510071254,6.967059663117426,1061.0981730397884
2021-12-29,1192.72,7.083991692120144,6.966774110550442,1060.7952169896523
2021-12-30,1199.18,7.089393268864122,6.966483366635974,1060.4868420670548
2021-12-31,1201.07,7.09096810514419,6.966187440343842,1060.17306255812
2022-01-03,1192.6,7.083891076689006,6.965886340832772,1059.8538930206414
2022-01-04,1168.42,7.0634076877926235,6.965580077451075,1059.5293482838813
2022-01-05,1123.73,7.0244087880746156,6.9652686597373075,1059.1994434483402
2022-01-06,1120.47,7.021503519120845,6.964952097420948,1058.8641938855242
2022-01-07,1119.82,7.020923237087501,6.964630400423056,1058.5236152376774
2022-01-10,1112.46,7.014329058337817,6.96430357885693,1058.1777234174956
2022-01-11,1108.65,7.010898337899006,6.963971643028768,1057.8265346078294
2022-01-12,1111.92,7.013843529776502,6.963634603438325,1057.4700652613612
2022-01-13,1097.49,7.000781033290504,6.963292470779565,1057.1083321002666
