Date,COPPER,log_price,log_price_hat,price_hat
2023-09-22,3.682,1.303456082810886,1.3263153737441171,3.767137290945652
2023-09-25,3.6595,1.2973265260591447,1.3272393239179054,3.7706195465679206
2023-09-26,3.6355,1.2907466531079745,1.3281735788370965,3.774143912499456
2023-09-27,3.6295,1.2890948977427583,1.3291180888591843,3.7777103132351
2023-09-28,3.708,1.3104926477036087,1.3300728026978343,3.7813186677484727
2023-09-29,3.7375,1.3184169387168048,1.3310376674130027,3.784968889409647
2023-10-02,3.6415,1.2923956846758329,1.332012628401177,3.7886608859020976
2023-10-03,3.621,1.2867502307835041,1.3329976293857495,3.792394559138953
2023-10-04,3.589,1.2778736121654701,1.3339926124075268,3.7961698051785784
2023-10-05,3.552,1.2675108251299236,1.3349975178153777,3.799986514139473
2023-10-06,3.6275,1.288543705776206,1.3360122842570261,3.8038445701145354
2023-10-09,3.646,1.2936306762564713,1.3370368486699915,3.8077438510846853
2023-10-10,3.634,1.2903339699739793,1.3380711462726795,3.811684228831866
2023-10-11,3.612,1.284261635554739,1.3391151105556345,3.815665568851466
2023-10-12,3.591,1.2784307152439458,1.3401686732729479,3.8196877302641496
2023-10-13,3.571,1.2728456686123115,1.341231764433834,3.823750565727135
2023-10-16,3.582,1.27592130363852,1.3423043122943796,3.827853921344949
2023-10-17,3.5785,1.274943718196515,1.3433862433494612,3.831997636579655
2023-10-18,3.587,1.2773161985501456,1.3444774823248513,3.8361815441606204
2023-10-19,3.601,1.2812115846667382,1.3455779521694988,3.840405469993789
2023-10-20,3.563,1.2706028866236991,1.3466875740480084,3.8446692330705554
2023-10-23,3.5865,1.2771767965843521,1.3478062673333058,3.8489726453762048
2023-10-24,3.624,1.287578388180733,1.3489339495995072,3.853315511797991
2023-10-25,3.591,1.2784307152439458,1.3500705366149932,3.8576976300328685
2023-10-26,3.5845,1.2766189943107897,1.3512159423356866,3.862118790494893
2023-10-27,3.646,1.2936306762564713,1.352370078898548,3.8665787762223456
2023-10-30,3.6735,1.3011448860781951,1.353532856615295,3.87107736278463
2023-10-31,3.6635,1.2984189746178816,1.354704183966335,3.8756143181889002
2023-11-01,3.6655,1.2989647516815044,1.3558839675949397,3.8801894027865718
2023-11-02,3.6875,1.3049487216659381,1.3570721123016487,3.88480236917965
2023-11-03,3.697,1.3075216799544949,1.3582685210389134,3.889452962126965
2023-11-06,3.7345,1.3176139408149843,1.3594730949059899,3.8941409184503537
2023-11-07,3.698,1.3077921329649331,1.3606857331440851,3.898865966940824
2023-11-08,3.6585,1.2970532273419477,1.361906333131754,3.903627828264721
2023-11-09,3.6625,1.2981459743431858,1.3631347903805668,3.908426214869984
2023-11-10,3.608,1.2831536022003773,1.364370998531044,3.9132608308925176
2023-11-13,3.6835,1.3038633871407312,1.365614849348859,3.9181313720626947
2023-11-14,3.7025,1.3090082671598169,1.3668662327213348,3.9230375256121204
2023-11-15,3.736,1.3180155203665962,1.3681250366542146,3.9279789701806123
2023-11-16,3.7195,1.313589250649259,1.3693911472687297,3.93295537572351
2023-11-17,3.753,1.3225555201528838,1.37066444879897,3.9379664034193724
2023-11-20,3.8225,1.3409046588210802,1.3719448235895537,3.943011705578068
2023-11-21,3.827,1.3420812064435652,1.3732321520936113,3.9480909255493684
2023-11-22,3.7815,1.3301207563139472,1.3745263128710858,3.9532036976320697
2023-11-24,3.8055,1.3364473887253092,1.3758271825873543,3.958349646983705
2023-11-27,3.7745,1.3282679235975425,1.377134636012187,3.963528389530952
2023-11-28,3.8185,1.3398576753463016,1.3784485460190332,3.968739531880724
2023-11-29,3.816,1.33920275358604,1.3797687835846584,3.9739826712320836
2023-11-30,3.842,1.345993064346365,1.3810952177891243,3.97925739528899
2023-12-01,3.9205,1.3662191966888395,1.382427715816132,3.984563282173999
2023-12-04,3.826,1.341819871018061,1.3837661429537216,3.989899900342931
2023-12-05,3.776,1.3286652482832542,1.3851103625953465,3.9952668085006358
2023-12-06,3.726,1.3153352721793967,1.386460236241319,4.0006635555178685
2023-12-07,3.79,1.332366019094335,1.3878156235006478,4.006089680349427
2023-12-08,3.824,1.341296995189155,1.3891763820932563,4.011544711953547
2023-12-11,3.778,1.3291947690793178,1.390542367852605,4.01702816921269
2023-12-12,3.7865,1.3314421095717404,1.3919134347287139,4.022539560855785
2023-12-13,3.785,1.3310458868894122,1.393289434791602,4.028078385382018
2023-12-14,3.89,1.358409157630355,1.3946702182351385,4.033644130986223
2023-12-15,3.8875,1.3577662775053525,1.3960556333813263,4.039236275486017
2023-12-18,3.849,1.3478133743016092,1.3974455266850168,4.044854286250701
2023-12-19,3.8945,1.3595653013778661,1.3988397427390624,4.050497620132071
2023-12-20,3.9025,1.3616173734074501,1.4002381242799211,4.056165723397194
2023-12-21,3.9105,1.363665243059529,1.4016405121937154,4.061858031663272
2023-12-22,3.8975,1.3603353219497945,1.4030467455227527,4.067573969834661
