window_start,window_end,tc_index,tc_days_ahead,tc_date_approx,m,w,A,B,C1,C2,r2,bubble_flag
2022-05-19,2023-01-30,299.0,120.0,2023-05-30,0.99,6.0,1.3066330962548394,0.00016933622110431503,-0.0004980887697369386,-0.0003446297824576803,0.6869017342761308,0
2022-05-26,2023-02-06,299.0,120.0,2023-06-06,0.99,6.0,1.3169816570589814,0.00012645983750205262,-0.00044989256916430593,-0.0003983133950918533,0.678170794022326,0
2022-06-02,2023-02-13,299.0,120.0,2023-06-13,0.99,6.0,1.3297048974785513,6.169212139788189e-05,-0.0003830368405675268,-0.00043073520386294797,0.6706450688028233,0
2022-06-09,2023-02-20,299.0,120.0,2023-06-20,0.99,6.0,1.389753022104692,-0.00027628180348935883,-0.00031142725750715674,-0.0003707871196995159,0.6961835899039714,0
2022-06-16,2023-02-27,299.0,120.0,2023-06-27,0.01,6.0,5.073577689794541,-3.556151317034497,-0.02972175296252827,-0.07169264130733388,0.745352124674425,1
2022-06-23,2023-03-06,233.054911615784,54.05491161578399,2023-04-29,0.01,6.0,16.642609076413212,-14.603318898917793,-0.0011486863272032188,0.03833092744156676,0.8073358262492109,1
2022-06-30,2023-03-13,299.0,120.0,2023-07-11,0.9710917234383667,10.711601840306566,1.6177121613069392,-0.0017656639346069923,-0.00018111334420552346,-0.00016279591179488588,0.8464923830561799,1
2022-07-07,2023-03-20,299.0,120.0,2023-07-18,0.99,11.476401604224728,1.622164749201387,-0.0015994951280710755,-6.144121060267492e-05,0.00021145177050520356,0.8521752356242002,1
2022-07-14,2023-03-27,299.0,120.0,2023-07-25,0.99,11.798509884089551,1.6272253984610923,-0.00159278130162297,-0.00016706107398712858,-0.00013739888096732172,0.8574055984199245,1
2022-07-21,2023-04-03,299.0,120.0,2023-08-01,0.01,10.521156372314794,26.264253690174595,-23.648114906558813,-0.03256611722469693,-0.027689963272758966,0.8667582086001252,1
2022-07-28,2023-04-11,299.0,120.0,2023-08-09,0.8271417883906477,10.031400485992078,1.6050100257572566,-0.0032739920903410336,9.801286050573792e-05,0.0006068865245348973,0.8800255616922341,1
2022-08-04,2023-04-18,266.6404926913186,87.64049269131863,2023-07-15,0.99,8.42047328270563,1.5179555590320033,-0.0010425229770254078,-0.00017836382700249645,-0.0002697117725034476,0.8870783920412925,1
2022-08-11,2023-04-25,299.0,120.0,2023-08-23,0.99,9.934245532955094,1.5427042233868546,-0.000988322873793689,6.973382730009718e-05,0.0002664700400474432,0.8815892615873195,1
2022-08-18,2023-05-02,299.0,120.0,2023-08-30,0.99,9.272721947786671,1.514365751968042,-0.000822224766186405,-0.0001363918615620618,-0.00025248079949354637,0.870325772055761,1
2022-08-25,2023-05-09,299.0,120.0,2023-09-06,0.99,8.66798782755656,1.491902932364187,-0.000696163817948434,0.00011958284646161712,0.0002686523593507237,0.868347076219302,1
2022-09-01,2023-05-16,299.0,120.0,2023-09-13,0.99,7.362413979389122,1.4352419563931973,-0.00041381863717267767,0.00028720490378455533,0.00017549609655891096,0.8610860436236066,1
2022-09-08,2023-05-23,299.0,120.0,2023-09-20,0.99,6.769470735236088,1.385643215084918,-0.00016733080057629792,-0.0003162656152527222,-0.0002140455973960783,0.8484303034258276,1
2022-09-15,2023-05-30,299.0,120.0,2023-09-27,0.99,6.0,1.343236638873927,1.429954766008934e-06,0.00043346259089921174,-0.00010027747397257708,0.8544692423752227,0
2022-09-22,2023-06-06,299.0,120.0,2023-10-04,0.99,6.0,1.3728132134186155,-0.00017852001478760237,0.0004362968951379394,1.8492587942943542e-05,0.8583711134298849,1
2022-09-29,2023-06-13,299.0,120.0,2023-10-11,0.99,6.2470510944596205,1.3946783444661288,-0.0002815873699370806,-1.199602828680447e-06,0.0004103512180021491,0.8408863955589772,1
2022-10-06,2023-06-21,297.8985038797285,118.89850387972848,2023-10-18,0.01,6.0,21.316562785914943,-18.95325492621317,0.0634902866884155,0.06473331479917466,0.8270098601701776,1
2022-10-13,2023-06-28,299.0,120.0,2023-10-26,0.2989497187987997,6.0,1.9760057898772334,-0.1317102625951328,0.011774402855102973,0.015761889259077098,0.8048498565387474,1
2022-10-20,2023-07-06,290.9354922035786,111.93549220357858,2023-10-26,0.99,6.0,1.443954637347366,-0.0005745267828448693,0.000355950415035492,0.0002553964796695392,0.7695268306952715,1
2022-10-27,2023-07-13,299.0,120.0,2023-11-10,0.99,6.451140633641843,1.4452883692477578,-0.0005369634645983037,-0.000385873944806104,-0.00010985030920945582,0.7343474940777508,1
2022-11-03,2023-07-20,299.0,120.0,2023-11-17,0.99,7.353550430002345,1.3916795078475777,-0.00019982497765170013,-0.00013655666647583863,0.0002893637626680786,0.6923765244000534,0
2022-11-10,2023-07-27,299.0,120.0,2023-11-24,0.99,7.5434737756013295,1.3869147736031746,-0.0001692076950860881,-0.0003069587254593617,-1.3842006989706964e-05,0.6710920967918208,0
2022-11-18,2023-08-03,299.0,120.0,2023-12-01,0.99,6.0,1.527482509002743,-0.000986681633252958,3.858865779114543e-05,0.0004904520100933083,0.6878270463122852,0
2022-11-25,2023-08-10,224.1406656676779,45.140665667677894,2023-09-24,0.99,6.0,1.330112628923391,0.0002082881551050765,0.0001386701087576907,-0.0003546490395618234,0.6467659307618512,0
2022-12-02,2023-08-17,215.00482607013123,36.00482607013123,2023-09-22,0.99,6.0,1.3219935410063015,0.0002970806748332737,6.271301074589752e-05,-0.00035879723008205524,0.6480987199532819,0
2022-12-09,2023-08-24,209.8485975950268,30.848597595026803,2023-09-24,0.99,6.0,1.3234278919076126,0.0002844340668307329,6.254909749030778e-05,-0.0003629258735331029,0.6535591847417085,0
2022-12-16,2023-08-31,203.9476103919788,24.9476103919788,2023-09-25,0.99,6.0,1.3247634601413254,0.00028027609913698696,5.27595912733146e-05,-0.00036204340685466827,0.6562842421094293,0
2022-12-23,2023-09-08,199.77089921895453,20.770899218954526,2023-09-29,0.99,6.0,1.3216324992525081,0.00032013632226180524,7.031259247935937e-05,-0.00032722295605050965,0.670265552517783,0
2023-01-03,2023-09-15,197.41042292520814,18.410422925208138,2023-10-03,0.99,6.0,1.318715072196293,0.0003554346417671481,0.00011806489879970812,-0.00027486199847175227,0.6974733043016925,0
2023-01-10,2023-09-22,196.13986439699855,17.139864396998547,2023-10-09,0.99,6.0,1.3121032861550668,0.00042945467239889184,0.00017071583674804487,-0.00018674162124370473,0.7556153748668488,0
2023-01-17,2023-09-29,188.04892831208628,9.048928312086275,2023-10-08,0.8490626518947729,6.0,1.3070791050246402,0.0009526732224222928,0.0002797983996075858,-0.0004515614999190445,0.7543885858453028,0
2023-01-24,2023-10-06,181.1008119585672,2.100811958567192,2023-10-08,0.5799707764540093,6.0,1.2909953356644164,0.004485577525948935,0.0007016815705880055,-0.00190508343967345,0.7590901199780026,0
2023-01-31,2023-10-13,180.0,1.0,2023-10-14,0.5241445831513625,6.715388876457451,1.2817725917482443,0.006389940372484037,-0.0016821274777453583,0.0019749752252706857,0.7688615658396766,0
2023-02-07,2023-10-20,180.06274278793893,1.0627427879389302,2023-10-21,0.502884765468271,7.1594693777354195,1.2716429931504514,0.007806067809408297,-0.000174032785213103,-0.002712511157910228,0.7728582255355435,0
2023-02-14,2023-10-27,180.12756904376633,1.1275690437663286,2023-10-28,0.5434181821443594,7.818439171629285,1.270249840942098,0.006360376158248304,-0.0005329081434596591,0.002107215113194904,0.7716587615989365,0
2023-02-21,2023-11-03,180.0,1.0,2023-11-04,0.6699260431598617,8.632383681978975,1.2803713524006333,0.0029057484271678433,0.0011204189716309265,-0.00033982529221132857,0.7556904540508325,0
2023-02-28,2023-11-10,180.84345600953338,1.8434560095333836,2023-11-12,0.7541893562524394,9.454825778264953,1.2839430974381338,0.0017405559697162612,-0.0004760484395574427,-0.0005971962323721877,0.7495585441220853,0
2023-03-07,2023-11-17,180.2667354440437,1.2667354440436895,2023-11-18,0.9153082205429818,10.403090345890929,1.2924184138766959,0.0006462360842765802,-0.0003015996430076476,0.00017867606196426738,0.7258526103034875,0
2023-03-14,2023-11-27,288.2296533738703,109.22965337387029,2024-03-15,0.5807338246583609,13.0,1.1791585577852715,0.0072358579081334504,1.5482797932590375e-05,-0.0011527744838057373,0.6886361284727112,0
2023-03-21,2023-12-04,288.79113060597695,109.79113060597695,2024-03-23,0.99,13.0,1.2396591003763815,0.0005053632340173744,5.5918034953801276e-05,-0.00013829704173199759,0.6943099954581446,0
2023-03-28,2023-12-11,286.17248600322347,107.17248600322347,2024-03-27,0.99,13.0,1.2431234490496874,0.00048698756305706514,7.306029266637168e-05,-0.00013434485595208116,0.644682511503951,0
2023-04-04,2023-12-18,285.82872922543964,106.82872922543964,2024-04-03,0.99,13.0,1.2524839335702047,0.0004319377041209172,9.726305146024753e-05,-0.00010765853353114649,0.5324282836528631,0
2023-04-12,2023-12-26,286.64956735926506,107.64956735926506,2024-04-12,0.99,13.0,1.2637847892346363,0.0003681490908032011,0.00011583977023436813,-7.002335135006912e-05,0.39920052789855276,0
2023-04-19,2024-01-03,244.46729999626953,65.46729999626953,2024-03-08,0.01,6.0,2.282603121769526,-0.9143979244690684,0.02482600058947504,0.006849927431335653,0.39014239763397773,0
2023-04-26,2024-01-10,227.4223667198661,48.42236671986609,2024-02-27,0.01,6.0,2.2219933728971952,-0.8598694200154972,0.02487357951517824,-0.011815818898192332,0.483779803959823,0
2023-05-03,2024-01-18,220.92870342374843,41.92870342374843,2024-02-29,0.01,6.087846430582675,2.561878699238682,-1.1851166425330577,0.028766002275465552,-0.005160494987957287,0.5506750765418933,0
2023-05-10,2024-01-25,211.89033473497884,32.890334734978836,2024-02-27,0.5030016645689861,6.0,1.371074109168835,-0.004983541027143119,0.0020407098060885257,-0.0024090305704059217,0.6260034994870587,0
2023-05-17,2024-02-01,202.45873028053552,23.45873028053552,2024-02-24,0.5729050402037229,6.0,1.3709194617336724,-0.0036736710618375783,0.0011088481351090652,-0.002185923680614982,0.6580154099537205,0
2023-05-24,2024-02-08,201.34452737022752,22.344527370227524,2024-03-01,0.99,6.0,1.3540332011591827,-0.0003623554785503521,0.00020015533538726018,-0.0002746229148184805,0.6354353292367276,0
2023-05-31,2024-02-15,253.79604387052186,74.79604387052186,2024-04-30,0.9529547406450405,8.823424660115386,1.3568243544318084,-0.0002863834410283195,-0.00021804831911714174,-0.0001135107890665558,0.6036078208895801,0
2023-06-07,2024-02-23,215.95222467659906,36.95222467659906,2024-03-31,0.8801403609844418,7.008928112664058,1.3583119315748788,-0.0005337415143372281,0.0002458425763882811,-0.00037107953176325546,0.6062848789883939,0
2023-06-14,2024-03-01,214.19226704450398,35.19226704450398,2024-04-05,0.979161849548756,7.230645972688318,1.3558286451790493,-0.0003035337208284482,0.00025762676863140603,7.095211814233505e-05,0.6107187800670226,0
2023-06-22,2024-03-08,222.4186687673063,43.418668767306286,2024-04-20,0.99,8.431052602304762,1.3610975830003984,-0.00030808194182210683,0.00019032295423132144,0.00013970252356174188,0.6476682411510041,0
