horizon,response,shock,fevd
8,dlog_DXY,dlog_COPPER,0.07030634510429275
8,dlog_DXY,dlog_DXY,0.8212946217834423
8,dlog_DXY,d_UST10Y,0.00693827010990515
8,dlog_DXY,dlog_VIX,0.0036168821204714667
8,d_UST10Y,dlog_SOLVPN,0.05287671576728276
8,d_UST10Y,dlog_COPPER,0.0030681795945155417
8,d_UST10Y,dlog_DXY,0.08675475863915551
8,d_UST10Y,d_UST10Y,0.856810712730925
8,d_UST10Y,dlog_VIX,0.0004896332681210316
8,dlog_VIX,dlog_SOLVPN,0.2831882238573708
8,dlog_VIX,dlog_COPPER,0.015240152330127833
8,dlog_VIX,dlog_DXY,0.0029866838502599627
8,dlog_VIX,d_UST10Y,0.011607404210375073
8,dlog_VIX,dlog_VIX,0.6869775357518667
9,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
9,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
9,dlog_SOLVPN,dlog_DXY,0.00017810831373342583
9,dlog_SOLVPN,d_UST10Y,0.0027749573383973733
9,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
9,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
9,dlog_COPPER,dlog_COPPER,0.9376926548900603
9,dlog_COPPER,dlog_DXY,0.0013712346781342792
9,dlog_COPPER,d_UST10Y,5.6407489545407627e-05
9,dlog_COPPER,dlog_VIX,0.007203850594601418
9,dlog_DXY,dlog_SOLVPN,0.09784388088188838
9,dlog_DXY,dlog_COPPER,0.07030634510429273
9,dlog_DXY,dlog_DXY,0.8212946217834421
9,dlog_DXY,d_UST10Y,0.006938270109905235
9,dlog_DXY,dlog_VIX,0.0036168821204714662
9,d_UST10Y,dlog_SOLVPN,0.05287671576728272
9,d_UST10Y,dlog_COPPER,0.003068179594515546
9,d_UST10Y,dlog_DXY,0.0867547586391556
9,d_UST10Y,d_UST10Y,0.856810712730925
9,d_UST10Y,dlog_VIX,0.0004896332681210318
9,dlog_VIX,dlog_SOLVPN,0.28318822385737075
9,dlog_VIX,dlog_COPPER,0.015240152330127833
9,dlog_VIX,dlog_DXY,0.0029866838502600026
9,dlog_VIX,d_UST10Y,0.011607404210375215
9,dlog_VIX,dlog_VIX,0.6869775357518666
10,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
10,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
10,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
10,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
